IdRun;NameConv;Time(ms);std;NbMicroKernel;AxeFuse;SizeAxeFuse;Schema;Time_search(1.8102924823760986)
0;ResNet18_7;0.8898474000000001;0.000706351782046318;1;axe_yy_0,axe_xx_0;16;[V f, U (4, f), U (7, y), U (3, w), T (8, c), Hoist_vars [c], T (3, h),  T (14, x), T (2, y), T (8, c), T (8, f), T (2, c)];2.5036420822143555
1;ResNet18_7;0.8384029;0.00041872913679371433;1;axe_yy_0,axe_xx_0;16;[V f, U (4, f), U (7, y), U (3, h), T (16, c), Hoist_vars [c], T (3, w),  T (14, x), T (2, y), T (1, c), T (8, f), T (8, c)];3.154675006866455
2;ResNet18_7;0.8864103999999999;0.0006004578586378867;1;axe_yy_0,axe_xx_0;16;[V f, U (4, f), U (7, y), U (3, h), T (8, c), Hoist_vars [c], T (3, w),  T (14, x), T (2, y), T (1, c), T (8, f), T (16, c)];3.8165011405944824
3;ResNet18_7;0.9111161000000001;0.0014974389102731362;2;axe_yy1_0,axe_xx1_0;16;[V f, U (4, f), ULambda y, U (3, w), T (16, c), Hoist_vars [c], T (3, h),  T (14, x), Lambda_apply y [((Iter 2), (Arg 4)), ((Iter 1), (Arg 6))],  T (4, c), T (8, f), T (2, c)];4.745845317840576
4;ResNet18_7;0.9502977000000001;0.000734627123103949;2;axe_yy1_0,axe_xx1_0;15;[V f, U (4, f), ULambda y, T (32, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), Lambda_apply y [((Iter 1), (Arg 4)), ((Iter 2), (Arg 5))],  T (4, c), T (8, f), T (1, c)];5.668935537338257
5;ResNet18_7;0.9225441999999999;0.0006579946504341953;2;axe_yy1_0,axe_xx1_0;15;[V f, U (4, f), ULambda y, U (3, w), T (16, c), Hoist_vars [c], T (3, h),  T (14, x), Lambda_apply y [((Iter 1), (Arg 4)), ((Iter 2), (Arg 5))],  T (8, c), T (8, f), T (1, c)];6.592201471328735
6;ResNet18_7;0.8241472;0.0013342438907485879;1;axe_yy_0,axe_xx_0;16;[V f, U (4, f), U (7, y), U (3, w), T (64, c), Hoist_vars [c], T (3, h),  T (14, x), T (2, y), T (2, c), T (8, f), T (1, c)];7.250748157501221
7;ResNet18_7;0.9263122000000001;0.0014895969790517099;2;axe_yy1_0,axe_xx1_0;16;[V f, U (4, f), ULambda y, U (3, w), T (32, c), Hoist_vars [c], T (3, h),  T (14, x), Lambda_apply y [((Iter 2), (Arg 4)), ((Iter 1), (Arg 6))],  T (4, c), T (8, f), T (1, c)];8.172571659088135
8;ResNet18_7;0.8893028;0.0004708967615093688;1;axe_yy_0,axe_xx_0;16;[V f, U (4, f), U (7, y), U (3, w), T (8, c), Hoist_vars [c], T (3, h),  T (14, x), T (2, y), T (4, c), T (8, f), T (4, c)];8.848168849945068
9;ResNet18_7;0.8451153000000001;0.0007276911501454101;1;axe_yy_0,axe_xx_0;16;[V f, U (4, f), U (7, y), U (3, w), T (32, c), Hoist_vars [c], T (3, h),  T (14, x), T (2, y), T (1, c), T (8, f), T (4, c)];9.507646322250366
10;ResNet18_7;0.9118549;0.001416052573176568;2;axe_yy1_0,axe_xx1_0;15;[V f, U (4, f), ULambda y, T (16, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), Lambda_apply y [((Iter 1), (Arg 4)), ((Iter 2), (Arg 5))],  T (8, c), T (8, f), T (1, c)];10.424155712127686
11;ResNet18_7;0.8149321;0.0004484456377310228;1;axe_yy_0,axe_xx_0;16;[V f, U (4, f), U (7, y), U (3, w), T (16, c), Hoist_vars [c], T (3, h),  T (14, x), T (2, y), T (4, c), T (8, f), T (2, c)];11.083916425704956
12;ResNet18_7;1.0099863;0.00160705787388017;2;axe_yy1_0,axe_xx1_0;16;[V f, U (4, f), ULambda y, U (3, h), T (64, c), Hoist_vars [c], T (3, w),  T (14, x), Lambda_apply y [((Iter 2), (Arg 4)), ((Iter 1), (Arg 6))],  T (1, c), T (8, f), T (2, c)];12.014764785766602
13;ResNet18_7;0.8199501999999999;0.001431692550794358;1;axe_yy_0,axe_xx_0;16;[V f, U (4, f), U (7, y), U (3, w), T (16, c), Hoist_vars [c], T (3, h),  T (14, x), T (2, y), T (1, c), T (8, f), T (8, c)];12.672856330871582
14;ResNet18_7;0.8867497;0.000941078641772313;1;axe_yy_0,axe_xx_0;16;[V f, U (4, f), U (7, y), U (3, h), T (8, c), Hoist_vars [c], T (3, w),  T (14, x), T (2, y), T (2, c), T (8, f), T (8, c)];13.343303442001343
15;ResNet18_7;0.828803;0.0006556373997873892;1;axe_yy_0,axe_xx_0;16;[V f, U (4, f), U (7, y), U (3, h), T (16, c), Hoist_vars [c], T (3, w),  T (14, x), T (2, y), T (4, c), T (8, f), T (2, c)];13.999671220779419
