IdRun;NameConv;Time(ms);std;NbMicroKernel;AxeFuse;SizeAxeFuse;Schema;Time_search(6.132931232452393)
0;Yolo9000_4;16.456518100000004;0.057778099346465606;1;axe_xx_0,axe_out_channels_0,axe_xx_1,axe_yy_0,axe_out_channels_1;42;[V f, U (4, f), U (4, y), U (3, w), T (64, c), Hoist_vars [c], T (68, x),  T (3, h), T (1, c), T (4, f), T (34, y), T (1, x), T (1, f), T (2, x)];9.448353052139282
1;Yolo9000_4;20.938753299999995;0.09332361374920013;1;axe_xx_0,axe_yy_0,axe_xx_1;22;[V f, U (2, f), ULambda y, U (3, h), T (32, c), Hoist_vars [c], T (8, x),  T (3, w), T (2, c),  Lambda_apply y [((Iter 2), (Arg 11)), ((Iter 1), (Arg 12))], T (8, f),  T (1, x), T (4, y), T (17, x)];12.93016242980957
2;Yolo9000_4;16.6192408;0.051224331893739296;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0,axe_yy1_1;49;[V f, U (2, f), ULambda y, U (3, h), T (64, c), Hoist_vars [c], T (4, x),  T (3, w), T (1, c), T (4, y), T (8, f), T (1, x),  Lambda_apply y [((Iter 2), (Arg 11)), ((Iter 1), (Arg 12))], T (34, x)];16.342315196990967
3;Yolo9000_4;16.168456000000003;0.05986397084891826;1;axe_xx_0,axe_out_channels_0,axe_xx_1,axe_yy_0,axe_out_channels_1;58;[V f, U (4, f), U (4, y), T (32, c), Hoist_vars [c], T (3, w), T (4, x),  T (3, h), T (2, c), T (1, f), T (34, y), T (2, x), T (4, f), T (17, x)];19.499802827835083
4;Yolo9000_4;16.231795999999996;0.03426818279103831;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0,axe_yy1_1;24;[V f, U (2, f), ULambda y, U (3, h), T (32, c), Hoist_vars [c], T (17, x),  T (3, w), T (2, c), T (1, y), T (8, f), T (4, x),  Lambda_apply y [((Iter 9), (Arg 9)), ((Iter 5), (Arg 11))], T (2, x)];22.83548593521118
5;Yolo9000_4;17.3933903;0.16158124822395034;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0,axe_yy1_1;32;[V f, U (2, f), ULambda y, U (3, h), T (16, c), Hoist_vars [c], T (4, x),  T (3, w), T (4, c), T (4, y), T (8, f), T (2, x),  Lambda_apply y [((Iter 1), (Arg 10)), ((Iter 2), (Arg 12))], T (17, x)];26.719661474227905
6;Yolo9000_4;16.3322718;0.12683829752152992;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0,axe_yy1_1;27;[V f, U (2, f), ULambda y, U (3, h), T (16, c), Hoist_vars [c], T (17, x),  T (3, w), T (4, c), T (1, y), T (8, f), T (8, x),  Lambda_apply y [((Iter 9), (Arg 9)), ((Iter 5), (Arg 11))], T (1, x)];30.047972202301025
7;Yolo9000_4;17.169778700000002;0.022106451958874673;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0,axe_yy1_1;22;[V f, U (2, f), ULambda y, U (3, h), T (64, c), Hoist_vars [c], T (17, x),  T (3, w), T (1, c), T (1, y), T (8, f), T (2, x),  Lambda_apply y [((Iter 7), (Arg 10)), ((Iter 6), (Arg 11))], T (4, x)];33.54249334335327
8;Yolo9000_4;16.9708614;0.08483709929293938;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0,axe_yy1_1;32;[V f, U (2, f), ULambda y, U (3, h), T (64, c), Hoist_vars [c], T (4, x),  T (3, w), T (1, c), T (4, y), T (8, f), T (2, x),  Lambda_apply y [((Iter 1), (Arg 10)), ((Iter 2), (Arg 12))], T (17, x)];37.22541618347168
9;Yolo9000_4;17.1626646;0.07646008422595411;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0,axe_yy1_1;32;[V f, U (2, f), ULambda y, U (3, h), T (32, c), Hoist_vars [c], T (4, x),  T (3, w), T (2, c), T (4, y), T (8, f), T (2, x),  Lambda_apply y [((Iter 1), (Arg 10)), ((Iter 2), (Arg 12))], T (17, x)];40.90414261817932
