IdRun;NameConv;Time(ms);std;NbMicroKernel;AxeFuse;SizeAxeFuse;Schema;Time_search(5.557893991470337)
0;MobilNet_9;2.5130994000000006;0.016536138849199244;1;axe_out_channels_1,axe_yy_0;17;[V f, U (4, f), U (7, y), U (3, w), T (16, c), Hoist_vars [c], T (3, h),  T (7, x), T (32, c), T (1, y), T (16, f), T (2, c), T (1, f)];10.811123132705688
1;MobilNet_9;2.4304937;0.0053819416394086375;1;axe_out_channels_1,axe_yy_0;17;[V f, U (4, f), U (7, y), U (3, h), T (16, c), Hoist_vars [c], T (3, w),  T (7, x), T (64, c), T (1, y), T (16, f), T (1, c), T (1, f)];15.882739543914795
2;MobilNet_9;14.551670300000001;0.06655631152948593;1;axe_xx_0;7;[V f, U (4, f), U (7, y), T (16, c), Hoist_vars [c], T (3, w), T (3, h),  T (7, x), T (64, c), T (1, y), T (4, f), T (1, c), T (4, f)];22.179304599761963
3;MobilNet_9;4.7172904;0.010737977427802765;1;axe_out_channels_0;8;[V f, U (4, f), U (7, y), U (3, w), T (16, c), Hoist_vars [c], T (3, h),  T (7, x), T (1, c), T (1, y), T (2, f), T (64, c), T (8, f)];27.284677028656006
4;MobilNet_9;8.7033361;0.009598151347525175;1;axe_yy_0,axe_out_channels_1;9;[V f, U (1, f), U (7, y), U (3, w), T (16, c), Hoist_vars [c], T (7, x),  T (3, h), T (8, f), T (1, y), T (1, c), T (64, c), T (8, f)];32.65873599052429
5;MobilNet_9;4.391977299999999;0.0062316584959382;1;axe_out_channels_1;16;[V f, U (1, f), U (7, y), U (3, h), U (3, w), T (128, c), Hoist_vars [c],  T (7, x), T (16, f), T (8, c), T (1, c), T (4, f)];37.77198839187622
6;MobilNet_9;7.5021372;1.4679186457767202;1;axe_out_channels_1,axe_yy_0;9;[V f, U (4, f), U (7, y), U (3, w), T (32, c), Hoist_vars [c], T (3, h),  T (7, x), T (32, c), T (1, y), T (8, f), T (1, c), T (2, f)];42.96893239021301
7;MobilNet_9;4.0384349;0.016089768727051302;1;axe_out_channels_0;16;[V f, U (4, f), U (7, y), U (3, h), T (32, c), Hoist_vars [c], T (3, w),  T (7, x), T (8, c), T (1, y), T (1, f), T (4, c), T (16, f)];48.07389760017395
8;MobilNet_9;2.3257702;0.00568054350920763;1;axe_out_channels_0;16;[V f, U (4, f), U (7, y), U (3, w), T (16, c), Hoist_vars [c], T (3, h),  T (7, x), T (32, c), T (1, y), T (1, f), T (2, c), T (16, f)];53.226524114608765
9;MobilNet_9;2.8200792;0.006242490108922858;1;axe_out_channels_0;16;[V f, U (1, f), U (7, y), U (3, h), T (128, c), Hoist_vars [c], T (7, x),  T (3, w), T (4, f), T (1, c), T (8, c), T (16, f)];58.178956747055054
10;MobilNet_9;3.9346723999999993;0.01318354854506184;1;axe_out_channels_0;16;[V f, U (4, f), U (7, y), U (3, w), T (32, c), Hoist_vars [c], T (3, h),  T (7, x), T (16, c), T (1, y), T (1, f), T (2, c), T (16, f)];63.28779339790344
11;MobilNet_9;13.7216262;0.03563262253553616;1;axe_xx_0;7;[V f, U (4, f), U (7, y), U (3, h), T (32, c), Hoist_vars [c], T (3, w),  T (7, x), T (32, c), T (1, y), T (4, f), T (1, c), T (4, f)];69.5686686038971
12;MobilNet_9;2.3990026;0.00381229613750038;1;axe_out_channels_0;16;[V f, U (1, f), U (7, y), U (3, h), T (16, c), Hoist_vars [c], T (7, x),  T (3, w), T (4, f), T (2, c), T (32, c), T (16, f)];74.61380910873413
13;MobilNet_9;2.4757854;0.01046893475192194;1;axe_out_channels_0,axe_out_channels_1;33;[V f, U (2, f), U (7, y), T (16, c), Hoist_vars [c], T (3, w), T (3, h),  T (7, x), T (4, c), T (1, f), T (32, f), T (16, c)];79.62857985496521
14;MobilNet_9;2.6227024;0.0038820690668764347;1;axe_out_channels_0,axe_out_channels_1;33;[V f, U (2, f), U (7, y), T (32, c), Hoist_vars [c], T (3, w), T (3, h),  T (7, x), T (2, c), T (32, f), T (1, f), T (16, c)];84.57692551612854
15;MobilNet_9;14.051889800000001;0.008856970676252561;1;axe_xx_0;7;[V f, U (4, f), U (7, y), U (3, w), T (16, c), Hoist_vars [c], T (3, h),  T (7, x), T (64, c), T (1, y), T (4, f), T (1, c), T (4, f)];90.88639783859253
16;MobilNet_9;4.1189446;0.006157075429130281;1;axe_out_channels_0,axe_out_channels_1;33;[V f, U (2, f), U (7, y), U (3, h), T (64, c), Hoist_vars [c], T (3, w),  T (7, x), T (1, c), T (1, f), T (32, f), T (16, c)];95.93500709533691
17;MobilNet_9;2.7117434;0.006555451642717017;1;axe_out_channels_0;16;[V f, U (1, f), U (7, y), U (3, h), U (3, w), T (16, c), Hoist_vars [c],  T (7, x), T (4, f), T (64, c), T (1, c), T (16, f)];100.95204186439514
18;MobilNet_9;9.4544854;0.01616391331454084;1;axe_out_channels_1,axe_yy_0;9;[V f, U (4, f), U (7, y), T (32, c), Hoist_vars [c], T (3, w), T (3, h),  T (7, x), T (16, c), T (1, y), T (8, f), T (2, c), T (2, f)];106.20587182044983
19;MobilNet_9;3.9187944000000003;0.006409146482956791;1;axe_out_channels_1,axe_yy_0;17;[V f, U (4, f), U (7, y), U (3, w), T (32, c), Hoist_vars [c], T (3, h),  T (7, x), T (32, c), T (1, y), T (16, f), T (1, c), T (1, f)];111.32052278518677
20;MobilNet_9;3.4141975;0.0013293932638613667;1;axe_yy_0,axe_out_channels_1;33;[V f, U (1, f), U (7, y), U (3, w), T (64, c), Hoist_vars [c], T (7, x),  T (3, h), T (32, f), T (1, y), T (2, c), T (8, c), T (2, f)];116.41576743125916
21;MobilNet_9;3.0043431000000003;0.0042995735939742015;1;axe_out_channels_0;16;[V f, U (1, f), U (7, y), U (3, w), T (16, c), Hoist_vars [c], T (7, x),  T (3, h), T (4, f), T (1, y), T (1, c), T (64, c), T (16, f)];121.47156023979187
22;MobilNet_9;2.3546801000000004;0.008776687181961056;1;axe_out_channels_0,axe_out_channels_1;33;[V f, U (2, f), U (7, y), U (3, h), T (16, c), Hoist_vars [c], T (3, w),  T (7, x), T (4, c), T (32, f), T (1, f), T (16, c)];126.4724268913269
23;MobilNet_9;2.242729;0.002548686720646523;1;axe_out_channels_0;16;[V f, U (4, f), U (7, y), U (3, w), T (16, c), Hoist_vars [c], T (3, h),  T (7, x), T (64, c), T (1, y), T (1, f), T (1, c), T (16, f)];131.52729058265686
24;MobilNet_9;3.3464343999999997;0.0062692638834235485;1;axe_out_channels_0;16;[V f, U (1, f), U (7, y), U (3, h), U (3, w), T (32, c), Hoist_vars [c],  T (7, x), T (4, f), T (16, c), T (2, c), T (16, f)];139.14701318740845
25;MobilNet_9;2.3374749000000006;0.01619596169697869;1;axe_out_channels_0,axe_out_channels_1;33;[V f, U (2, f), U (7, y), U (3, h), U (3, w), T (16, c), Hoist_vars [c],  T (7, x), T (4, c), T (1, f), T (32, f), T (16, c)];144.24368119239807
26;MobilNet_9;3.061627;0.04058210040892421;1;axe_out_channels_0;16;[V f, U (1, f), U (7, y), U (3, w), T (16, c), Hoist_vars [c], T (7, x),  T (3, h), T (4, f), T (1, y), T (64, c), T (1, c), T (16, f)];149.2524037361145
27;MobilNet_9;2.4106864000000003;0.01099768109375802;1;axe_out_channels_0;16;[V f, U (4, f), U (7, y), U (3, h), T (16, c), Hoist_vars [c], T (3, w),  T (7, x), T (8, c), T (1, y), T (1, f), T (8, c), T (16, f)];154.25485801696777
