IdRun;NameConv;Time(ms);std;NbMicroKernel;AxeFuse;SizeAxeFuse;Schema;Time_search(3.3969385623931885)
0;Yolo9000_13;5.492411000000001;0.00172640302363023;1;axe_yy_0,axe_xx_0;2;[V f, U (2, f), ULambda y, T (128, c), Hoist_vars [c], T (1, x), T (4, c),  T (34, x), Lambda_apply y [((Iter 1), (Arg 7)), ((Iter 3), (Arg 9))],  T (8, f), T (1, x), T (1, y)];4.396684885025024
1;Yolo9000_13;5.5773171999999995;0.002309386663164148;1;axe_yy_0,axe_xx_0;2;[V f, U (2, f), ULambda y, T (128, c), Hoist_vars [c], T (2, x), T (4, c),  T (17, x), Lambda_apply y [((Iter 3), (Arg 7)), ((Iter 1), (Arg 13))],  T (8, f), T (1, x), T (1, y)];5.476478815078735
2;Yolo9000_13;3.6559847999999997;0.000589338239044521;1;axe_yy_0,axe_xx_0;3;[V f, U (2, f), ULambda y, T (64, c), Hoist_vars [c], T (34, x), T (8, c),  T (1, x), Lambda_apply y [((Iter 1), (Arg 8)), ((Iter 1), (Arg 9))],  T (8, f), T (1, x), T (2, y)];6.452591180801392
3;Yolo9000_13;0.5377232999999999;0.11830748383010266;2;axe_yy1_0,axe_xx1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_1;46;[V f, U (2, f), ULambda y, T (128, c), Hoist_vars [c], T (1, x), T (4, c),  T (34, x), T (2, y), T (8, f), T (1, x),  Lambda_apply y [((Iter 1), (Arg 8)), ((Iter 1), (Arg 9))]];7.635061979293823
4;Yolo9000_13;0.9757194;0.013821674726313005;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_out_channels1_0;7;[V f, U (4, f), ULambda y, T (256, c), Hoist_vars [c], T (34, x), T (2, c),  T (4, f), T (1, x), T (1, x),  Lambda_apply y [((Iter 1), (Arg 4)), ((Iter 5), (Arg 6))]];8.86310338973999
5;Yolo9000_13;5.516375099999999;0.038751950692707114;1;axe_yy_0,axe_xx_0;2;[V f, U (2, f), ULambda y, T (64, c), Hoist_vars [c], T (1, x), T (8, c),  T (34, x), Lambda_apply y [((Iter 2), (Arg 10)), ((Iter 1), (Arg 14))],  T (8, f), T (1, x), T (1, y)];9.919002056121826
6;Yolo9000_13;5.655872499999999;0.0017150024635550413;1;axe_yy_0,axe_xx_0;2;[V f, U (2, f), ULambda y, T (128, c), Hoist_vars [c], T (1, x), T (4, c),  T (34, x), Lambda_apply y [((Iter 2), (Arg 11)), ((Iter 1), (Arg 12))],  T (8, f), T (1, x), T (1, y)];11.003582000732422
7;Yolo9000_13;5.427407100000001;0.0009791520259898006;1;axe_yy_0,axe_xx_0;2;[V f, U (2, f), ULambda y, T (512, c), Hoist_vars [c], T (2, x), T (1, c),  T (17, x), Lambda_apply y [((Iter 3), (Arg 7)), ((Iter 1), (Arg 13))],  T (8, f), T (1, x), T (1, y)];12.02609896659851
8;Yolo9000_13;0.5040344;0.1183951961966363;2;axe_yy1_0,axe_xx1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_1;47;[V f, U (2, f), ULambda y, T (256, c), Hoist_vars [c], T (1, x), T (2, c),  T (34, x), T (1, y), T (8, f), T (1, x),  Lambda_apply y [((Iter 3), (Arg 7)), ((Iter 1), (Arg 13))]];13.190204620361328
9;Yolo9000_13;3.5550498;0.0009111641784002382;1;axe_yy_0,axe_xx_0;3;[V f, U (2, f), ULambda y, T (128, c), Hoist_vars [c], T (2, x), T (4, c),  T (17, x), Lambda_apply y [((Iter 1), (Arg 8)), ((Iter 1), (Arg 9))],  T (8, f), T (1, x), T (2, y)];14.203060150146484
