IdRun;NameConv;Time(ms);std;NbMicroKernel;AxeFuse;SizeAxeFuse;Schema;Time_search(2.1356892585754395)
0;ResNet18_5;0.019550400000000002;0.00026173543894551234;1;axe_out_channels_0,axe_out_channels_1,axe_yy_0,axe_xx_0;11;[V f, U (4, f), U (7, y), T (32, c), Hoist_vars [c], T (7, x), T (2, c),  T (4, x), T (4, y), T (1, f), T (2, f)];2.94742488861084
1;ResNet18_5;0.19452759999999997;0.001808762737342855;1;axe_out_channels_0,axe_out_channels_1,axe_yy_0,axe_xx_0;8;[V f, U (4, f), U (7, y), T (32, c), Hoist_vars [c], T (28, x), T (2, c),  T (1, x), T (4, y), T (2, f), T (1, f)];3.719756603240967
2;ResNet18_5;0.0194696;0.00042446300192125057;1;axe_out_channels_0,axe_out_channels_1,axe_yy_0,axe_xx_0;11;[V f, U (4, f), U (7, y), T (32, c), Hoist_vars [c], T (7, x), T (2, c),  T (4, x), T (4, y), T (2, f), T (1, f)];4.551355600357056
3;ResNet18_5;0.0180323;0.0004993393735727235;1;axe_out_channels_0,axe_out_channels_1,axe_yy_0,axe_xx_0;11;[V f, U (4, f), U (7, y), T (64, c), Hoist_vars [c], T (7, x), T (1, c),  T (4, x), T (4, y), T (2, f), T (1, f)];5.400343179702759
4;ResNet18_5;0.0188571;0.00022611079142756518;1;axe_out_channels_0,axe_out_channels_1,axe_yy_0,axe_xx_0;14;[V f, U (4, f), U (7, y), T (64, c), Hoist_vars [c], T (4, x), T (1, c),  T (7, x), T (4, y), T (1, f), T (2, f)];6.170609951019287
5;ResNet18_5;0.0268399;0.00046788384242245487;1;axe_out_channels_0,axe_out_channels_1,axe_yy_0,axe_xx_0;9;[V f, U (4, f), U (7, y), T (64, c), Hoist_vars [c], T (14, x), T (1, c),  T (2, x), T (4, y), T (2, f), T (1, f)];7.094250917434692
6;ResNet18_5;0.014446400000000002;0.00028874182239502477;1;axe_yy_0,axe_xx_0,axe_out_channels_0;20;[V f, U (2, f), U (14, y), T (64, c), Hoist_vars [c], T (2, x), T (4, f),  T (14, x), T (2, y)];7.828927040100098
7;ResNet18_5;0.026963599999999997;0.0005030819416357528;1;axe_yy_0,axe_xx_0,axe_out_channels_0;10;[V f, U (2, f), U (14, y), T (64, c), Hoist_vars [c], T (7, x), T (4, f),  T (4, x), T (2, y)];8.575072526931763
8;ResNet18_5;0.0181159;0.00023934888760969845;1;axe_out_channels_0,axe_out_channels_1,axe_yy_0,axe_xx_0;11;[V f, U (4, f), U (7, y), T (64, c), Hoist_vars [c], T (7, x), T (1, c),  T (4, x), T (4, y), T (1, f), T (2, f)];9.406094789505005
9;ResNet18_5;0.0179209;0.00013982020597896522;1;axe_out_channels_0,axe_out_channels_1,axe_yy_0,axe_xx_0;14;[V f, U (4, f), U (7, y), T (64, c), Hoist_vars [c], T (4, x), T (1, c),  T (7, x), T (4, y), T (2, f), T (1, f)];10.148247003555298
10;ResNet18_5;0.1912623;0.001365175523513368;1;axe_out_channels_0,axe_out_channels_1,axe_yy_0,axe_xx_0;8;[V f, U (4, f), U (7, y), T (32, c), Hoist_vars [c], T (28, x), T (2, c),  T (1, x), T (4, y), T (1, f), T (2, f)];10.940877914428711
11;ResNet18_5;0.018096299999999996;0.00036255318230571376;1;axe_yy_0,axe_xx_0,axe_out_channels_0;34;[V f, U (2, f), U (14, y), T (64, c), Hoist_vars [c], T (1, x), T (4, f),  T (28, x), T (2, y)];11.656327724456787
12;ResNet18_5;0.0312129;0.0002733201236645408;1;axe_out_channels_0,axe_out_channels_1,axe_yy_0,axe_xx_0;9;[V f, U (4, f), U (7, y), T (32, c), Hoist_vars [c], T (14, x), T (2, c),  T (2, x), T (4, y), T (2, f), T (1, f)];12.589845895767212
13;ResNet18_5;0.0188293;0.0004825227559400694;1;axe_out_channels_0,axe_out_channels_1,axe_yy_0,axe_xx_0;14;[V f, U (4, f), U (7, y), T (32, c), Hoist_vars [c], T (4, x), T (2, c),  T (7, x), T (4, y), T (2, f), T (1, f)];13.363261938095093
14;ResNet18_5;0.0318316;0.0003426581970418929;1;axe_out_channels_0,axe_out_channels_1,axe_yy_0,axe_xx_0;9;[V f, U (4, f), U (7, y), T (32, c), Hoist_vars [c], T (14, x), T (2, c),  T (2, x), T (4, y), T (1, f), T (2, f)];14.31445598602295
15;ResNet18_5;0.028188599999999998;0.0003148505042079491;1;axe_out_channels_0,axe_out_channels_1,axe_yy_0,axe_xx_0;9;[V f, U (4, f), U (7, y), T (64, c), Hoist_vars [c], T (14, x), T (1, c),  T (2, x), T (4, y), T (1, f), T (2, f)];15.242883682250977
16;ResNet18_5;0.0230056;0.0009804384937363482;1;axe_yy_0,axe_xx_0,axe_out_channels_0;13;[V f, U (2, f), U (14, y), T (64, c), Hoist_vars [c], T (4, x), T (4, f),  T (7, x), T (2, y)];15.963355779647827
17;ResNet18_5;0.1829626;0.0013521480096498277;1;axe_out_channels_0,axe_out_channels_1,axe_yy_0,axe_xx_0;8;[V f, U (4, f), U (7, y), T (64, c), Hoist_vars [c], T (28, x), T (1, c),  T (1, x), T (4, y), T (2, f), T (1, f)];16.732465505599976
18;ResNet18_5;0.027593200000000002;0.0008567858308819063;1;axe_yy_0,axe_xx_0,axe_out_channels_0;8;[V f, U (2, f), U (14, y), T (64, c), Hoist_vars [c], T (14, x), T (4, f),  T (2, x), T (2, y)];17.467623949050903
19;ResNet18_5;0.18213469999999998;0.002642016390940831;1;axe_out_channels_0,axe_out_channels_1,axe_yy_0,axe_xx_0;8;[V f, U (4, f), U (7, y), T (64, c), Hoist_vars [c], T (28, x), T (1, c),  T (1, x), T (4, y), T (1, f), T (2, f)];18.232089042663574
