IdRun;NameConv;Time(ms);std;NbMicroKernel;AxeFuse;SizeAxeFuse;Schema;Time_search(2.651491165161133)
0;ResNet18_7;0.35705709999999996;0.0019596893350732757;1;axe_xx_0;14;[V f, U (4, f), U (7, y), U (3, w), T (32, c), Hoist_vars [c], T (3, h),  T (14, x), T (4, c), T (2, f), T (2, y), T (2, f)];3.642076253890991
1;ResNet18_7;0.35034699999999996;0.001784820663260039;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (32, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (4, c), T (8, f), T (1, y), T (1, f)];4.628040790557861
2;ResNet18_7;0.46906610000000004;0.001937764147155159;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (16, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (8, c), T (4, f), T (1, y), T (2, f)];5.628437757492065
3;ResNet18_7;0.47119099999999997;0.0022632555313088277;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (16, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (8, c), T (2, f), T (1, y), T (4, f)];6.623627185821533
4;ResNet18_7;0.4420103;0.0013119018294064449;1;axe_xx_0;14;[V f, U (4, f), U (7, y), U (3, h), T (32, c), Hoist_vars [c], T (3, w),  T (14, x), T (4, c), T (1, f), T (2, y), T (4, f)];7.63202691078186
5;ResNet18_7;0.34724889999999997;0.002380444851283047;1;axe_xx_0;14;[V f, U (4, f), U (7, y), U (3, w), T (32, c), Hoist_vars [c], T (3, h),  T (14, x), T (4, c), T (1, f), T (2, y), T (4, f)];8.652644395828247
6;ResNet18_7;0.3573391;0.0015622525692089678;1;axe_xx_0;14;[V f, U (4, f), U (7, y), T (32, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (4, c), T (2, f), T (2, y), T (2, f)];9.638758420944214
7;ResNet18_7;0.2936531;0.0022901176148835724;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (64, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (2, c), T (2, f), T (1, y), T (4, f)];10.637284755706787
8;ResNet18_7;0.345394;0.0012678608756484294;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (32, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (4, c), T (4, f), T (1, y), T (2, f)];11.63684868812561
9;ResNet18_7;0.4438664;0.0018644506000428194;1;axe_xx_0;14;[V f, U (4, f), U (7, y), U (3, h), T (32, c), Hoist_vars [c], T (3, w),  T (14, x), T (4, c), T (2, f), T (2, y), T (2, f)];12.65866732597351
10;ResNet18_7;0.47007079999999996;0.0021868253153830195;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (16, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (8, c), T (8, f), T (1, y), T (1, f)];13.638595581054688
11;ResNet18_7;0.29452749999999994;0.0017034667739641966;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (64, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (2, c), T (4, f), T (1, y), T (2, f)];14.622961521148682
12;ResNet18_7;0.3618441;0.001804276223309513;1;axe_xx_0;14;[V f, U (4, f), U (7, y), T (32, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (4, c), T (4, f), T (2, y), T (1, f)];15.627608299255371
13;ResNet18_7;0.2955986;0.001195012987377139;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (64, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (2, c), T (1, f), T (1, y), T (8, f)];16.629292011260986
14;ResNet18_7;0.3504081;0.0028501849922417367;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (32, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (4, c), T (1, f), T (1, y), T (8, f)];17.604013204574585
15;ResNet18_7;0.2942238999999999;0.0019499833563392163;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (64, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (2, c), T (8, f), T (1, y), T (1, f)];18.59114646911621
16;ResNet18_7;0.3582836;0.0019319407444328947;1;axe_xx_0;14;[V f, U (4, f), U (7, y), T (32, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (4, c), T (1, f), T (2, y), T (4, f)];19.55988121032715
17;ResNet18_7;0.34779260000000006;0.0016290925817767192;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (32, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (4, c), T (2, f), T (1, y), T (4, f)];20.54407000541687
18;ResNet18_7;0.4431379;0.0024499168741000227;1;axe_xx_0;14;[V f, U (4, f), U (7, y), U (3, h), T (32, c), Hoist_vars [c], T (3, w),  T (14, x), T (4, c), T (4, f), T (2, y), T (1, f)];21.553986310958862
19;ResNet18_7;0.34592090000000003;0.002106266481241156;1;axe_xx_0;14;[V f, U (4, f), U (7, y), U (3, w), T (32, c), Hoist_vars [c], T (3, h),  T (14, x), T (4, c), T (4, f), T (2, y), T (1, f)];22.571595668792725
20;ResNet18_7;0.4689165;0.0019779813067872932;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (16, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (8, c), T (1, f), T (1, y), T (8, f)];23.569164514541626
