IdRun;NameConv;Time(ms);std;NbMicroKernel;AxeFuse;SizeAxeFuse;Schema;Time_search(4.583926200866699)
0;MobilNet_1;0.1102155;0.0005382280650430665;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;15;[V f, U (1, f), U (14, y), U (3, h), T (32, c), Hoist_vars [c], T (28, x),  T (1, c), T (3, w), T (4, x), T (1, y), T (2, f), T (8, y)];5.650493621826172
1;MobilNet_1;0.1093923;0.0004902199608339095;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;36;[V f, U (1, f), U (14, y), U (3, h), T (32, c), Hoist_vars [c], T (4, x),  T (1, c), T (3, w), T (28, x), T (2, y), T (2, f), T (4, y)];6.732223987579346
2;MobilNet_1;0.09055100000000002;0.0006961811545854996;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;120;[V f, U (1, f), U (14, y), U (3, h), T (8, c), Hoist_vars [c], T (1, x),  T (4, c), T (3, w), T (112, x), T (4, y), T (2, f), T (2, y)];7.851342439651489
3;MobilNet_1;0.35148560000000006;0.0009080130175278277;1;axe_yy_1,axe_xx_0;113;[V f, U (2, f), U (8, y), T (32, c), Hoist_vars [c], T (3, w), T (3, h),  T (112, x), T (1, y), T (1, c), T (14, y)];8.955817699432373
4;MobilNet_1;0.6139584000000001;0.0035162358623960378;1;axe_yy_0;4;[V f, U (2, f), ULambda y, U (3, h), T (32, c), Hoist_vars [c], T (3, w),  T (112, x), Lambda_apply y [((Iter 2), (Arg 9)), ((Iter 1), (Arg 10))],  T (1, c), T (4, y)];10.186747074127197
5;MobilNet_1;0.1417504;0.0019355479430900194;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;18;[V f, U (1, f), U (14, y), U (3, h), T (16, c), Hoist_vars [c], T (16, x),  T (2, c), T (3, w), T (7, x), T (1, y), T (2, f), T (8, y)];11.27045750617981
6;MobilNet_1;0.10969979999999999;0.0008146347402363854;1;axe_yy_0,axe_out_channels_0,axe_yy_1,axe_xx_0;39;[V f, U (1, f), U (14, y), U (3, h), T (32, c), Hoist_vars [c], T (4, x),  T (1, c), T (3, w), T (28, x), T (1, y), T (2, f), T (8, y)];12.400636434555054
7;MobilNet_1;0.38769709999999996;0.0016442036035722609;2;axe_yy1_1,axe_xx1_0;113;[V f, U (2, f), ULambda y, T (32, c), Hoist_vars [c], T (3, w), T (3, h),  T (112, x), T (1, y), T (1, c),  Lambda_apply y [((Iter 5), (Arg 8)), ((Iter 8), (Arg 9))]];13.698851585388184
8;MobilNet_1;2.1385282;0.0036567360801676276;1;axe_yy_0;1;[V f, U (1, f), ULambda y, U (3, h), T (16, c), Hoist_vars [c], T (8, x),  T (2, c), T (3, w), T (14, x),  Lambda_apply y [((Iter 7), (Arg 12)), ((Iter 2), (Arg 14))], T (2, f),  T (1, y)];14.983864784240723
9;MobilNet_1;1.3541052999999998;0.010198693426611073;1;axe_yy_0;2;[V f, U (2, f), ULambda y, T (32, c), Hoist_vars [c], T (3, w), T (3, h),  T (112, x), Lambda_apply y [((Iter 5), (Arg 9)), ((Iter 1), (Arg 11))],  T (1, c), T (2, y)];16.31097912788391
