IdRun;NameConv;Time(ms);std;NbMicroKernel;AxeFuse;SizeAxeFuse;Schema;Time_search(2.4968011379241943)
0;ResNet18_7;0.8692383999999999;0.0029248064961634734;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (16, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (8, c), T (1, f), T (1, y), T (8, f)];3.4793002605438232
1;ResNet18_7;0.3871184;0.00290945016111293;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (64, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (2, c), T (2, f), T (1, y), T (4, f)];4.4702088832855225
2;ResNet18_7;0.38934330000000006;0.003085175101999896;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (64, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (2, c), T (4, f), T (1, y), T (2, f)];5.486508846282959
3;ResNet18_7;0.5554086;0.0033156176257222183;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (32, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (4, c), T (1, f), T (1, y), T (8, f)];6.457618474960327
4;ResNet18_7;0.5485772;0.0022940775401019135;1;axe_xx_0;14;[V f, U (4, f), U (7, y), T (32, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (4, c), T (2, f), T (2, y), T (2, f)];7.4508216381073
5;ResNet18_7;0.5588421;0.003389598603079715;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (32, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (4, c), T (8, f), T (1, y), T (1, f)];8.44469690322876
6;ResNet18_7;0.5786804000000001;0.0016100503221949324;1;axe_xx_0;14;[V f, U (4, f), U (7, y), U (3, h), T (32, c), Hoist_vars [c], T (3, w),  T (14, x), T (4, c), T (1, f), T (2, y), T (4, f)];9.475965976715088
7;ResNet18_7;0.5545913;0.0032002527728290514;1;axe_xx_0;14;[V f, U (4, f), U (7, y), U (3, w), T (32, c), Hoist_vars [c], T (3, h),  T (14, x), T (4, c), T (4, f), T (2, y), T (1, f)];10.510149240493774
8;ResNet18_7;0.5526078;0.006472096813243742;1;axe_xx_0;14;[V f, U (4, f), U (7, y), T (32, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (4, c), T (4, f), T (2, y), T (1, f)];11.504081010818481
9;ResNet18_7;0.5854201000000001;0.00342790257883739;1;axe_xx_0;14;[V f, U (4, f), U (7, y), U (3, h), T (32, c), Hoist_vars [c], T (3, w),  T (14, x), T (4, c), T (2, f), T (2, y), T (2, f)];12.539366722106934
10;ResNet18_7;0.3906826;0.0029652081950513943;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (64, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (2, c), T (8, f), T (1, y), T (1, f)];13.555227994918823
11;ResNet18_7;0.8683257;0.004239844880417212;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (16, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (8, c), T (8, f), T (1, y), T (1, f)];14.554624557495117
12;ResNet18_7;0.5414334000000001;0.002903083539962298;1;axe_xx_0;14;[V f, U (4, f), U (7, y), T (32, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (4, c), T (1, f), T (2, y), T (4, f)];15.528207063674927
13;ResNet18_7;0.5483939;0.004282207501978392;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (32, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (4, c), T (2, f), T (1, y), T (4, f)];16.52014422416687
14;ResNet18_7;0.5497824;0.002079341107177988;1;axe_xx_0;14;[V f, U (4, f), U (7, y), U (3, w), T (32, c), Hoist_vars [c], T (3, h),  T (14, x), T (4, c), T (1, f), T (2, y), T (4, f)];17.53115200996399
15;ResNet18_7;0.5470856;0.00244717732091484;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (32, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (4, c), T (4, f), T (1, y), T (2, f)];18.54794979095459
16;ResNet18_7;0.5782113000000001;0.0033968966734359103;1;axe_xx_0;14;[V f, U (4, f), U (7, y), U (3, h), T (32, c), Hoist_vars [c], T (3, w),  T (14, x), T (4, c), T (4, f), T (2, y), T (1, f)];19.571130514144897
17;ResNet18_7;0.5515155999999999;0.0031702082329083696;1;axe_xx_0;14;[V f, U (4, f), U (7, y), U (3, w), T (32, c), Hoist_vars [c], T (3, h),  T (14, x), T (4, c), T (2, f), T (2, y), T (2, f)];20.566199779510498
18;ResNet18_7;0.8591377;0.006098033011553814;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (16, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (8, c), T (2, f), T (1, y), T (4, f)];21.574445962905884
19;ResNet18_7;0.8707293999999999;0.0030933862093181974;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (16, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (8, c), T (4, f), T (1, y), T (2, f)];22.574251413345337
20;ResNet18_7;0.3863206;0.0024331243782429283;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (64, c), Hoist_vars [c], T (3, w), T (3, h),  T (14, x), T (2, c), T (1, f), T (1, y), T (8, f)];23.555068016052246
