IdRun;NameConv;Time(ms);std;NbMicroKernel;AxeFuse;SizeAxeFuse;Schema;Time_search(5.763916492462158)
0;ResNet18_2;1.0620417999999998;0.007354806425732753;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;9;[V f, U (2, f), ULambda y, T (16, c), Hoist_vars [c], T (3, h), T (28, x),  T (3, w), T (4, c), T (2, f), T (1, x),  Lambda_apply y [((Iter 4), (Arg 11)), ((Iter 1), (Arg 12))], T (2, x)];7.12379002571106
1;ResNet18_2;0.5441955;0.008429344758046142;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;9;[V f, U (2, f), ULambda y, T (32, c), Hoist_vars [c], T (3, h), T (14, x),  T (3, w), T (2, c), T (2, f), T (4, x),  Lambda_apply y [((Iter 2), (Arg 10)), ((Iter 3), (Arg 12))], T (1, x)];8.484018564224243
2;ResNet18_2;0.6733312;0.002673842134457459;1;axe_yy_0,axe_out_channels_0;5;[V f, U (1, f), ULambda y, U (3, h), T (64, c), Hoist_vars [c], T (3, w),  T (56, x), Lambda_apply y [((Iter 5), (Arg 9)), ((Iter 1), (Arg 11))],  T (1, c), T (4, f), T (1, y)];9.656886100769043
3;ResNet18_2;0.086022;0.00034722759106960605;1;axe_xx_0,axe_yy_0,axe_xx_1,axe_out_channels_0;12;[V f, U (2, f), U (14, y), T (64, c), Hoist_vars [c], T (3, h), T (7, x),  T (3, w), T (1, c), T (2, f), T (4, x), T (4, y), T (2, x)];10.73669147491455
4;ResNet18_2;0.1112476;0.0014173521933520975;1;axe_xx_0,axe_yy_0,axe_xx_1,axe_out_channels_0;14;[V f, U (2, f), U (8, y), T (32, c), Hoist_vars [c], T (3, h), T (14, x),  T (3, w), T (2, c), T (2, f), T (4, x), T (7, y), T (1, x)];11.819921493530273
5;ResNet18_2;0.1083844;0.0013692517810833791;1;axe_xx_0,axe_yy_0,axe_xx_1,axe_out_channels_0;15;[V f, U (2, f), U (14, y), T (32, c), Hoist_vars [c], T (3, h), T (7, x),  T (3, w), T (2, c), T (2, f), T (1, x), T (4, y), T (8, x)];12.880338191986084
6;ResNet18_2;0.23336479999999998;0.0014450880803605001;1;axe_yy_1,axe_xx_0;58;[V f, U (1, f), U (14, y), U (3, h), T (64, c), Hoist_vars [c], T (3, w),  T (56, x), T (2, y), T (1, c), T (4, f), T (2, y)];13.935404777526855
7;ResNet18_2;0.1054919;0.0008659507434028749;1;axe_xx_0,axe_yy_0,axe_xx_1,axe_out_channels_0;12;[V f, U (2, f), U (14, y), T (16, c), Hoist_vars [c], T (3, h), T (7, x),  T (3, w), T (4, c), T (2, f), T (2, x), T (4, y), T (4, x)];14.990181922912598
8;ResNet18_2;0.651813;0.006722286887659581;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;11;[V f, U (2, f), ULambda y, U (3, h), T (16, c), Hoist_vars [c], T (14, x),  T (3, w), T (4, c), T (2, f), T (1, x),  Lambda_apply y [((Iter 4), (Arg 11)), ((Iter 1), (Arg 12))], T (4, x)];16.36917543411255
9;ResNet18_2;0.1736832;0.001628621490709251;1;axe_xx_0,axe_yy_0,axe_xx_1;13;[V f, U (4, f), U (7, y), U (3, h), T (32, c), Hoist_vars [c], T (14, x),  T (3, w), T (2, c), T (1, x), T (8, y), T (4, x)];17.631261587142944
10;ResNet18_2;0.2192987;0.0023008407180854606;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;9;[V f, U (2, f), ULambda y, T (32, c), Hoist_vars [c], T (3, h), T (7, x),  T (3, w), T (2, c), T (2, f), T (4, x),  Lambda_apply y [((Iter 1), (Arg 11)), ((Iter 3), (Arg 15))], T (2, x)];18.93524146080017
11;ResNet18_2;0.27808289999999997;0.0039647949871336454;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;12;[V f, U (2, f), ULambda y, T (16, c), Hoist_vars [c], T (3, h), T (7, x),  T (3, w), T (4, c), T (2, f), T (1, x),  Lambda_apply y [((Iter 1), (Arg 11)), ((Iter 3), (Arg 15))], T (8, x)];20.24190926551819
12;ResNet18_2;0.5582898000000001;0.006571377432471823;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;9;[V f, U (2, f), ULambda y, U (3, h), T (32, c), Hoist_vars [c], T (14, x),  T (3, w), T (2, c), T (2, f), T (4, x),  Lambda_apply y [((Iter 2), (Arg 10)), ((Iter 3), (Arg 12))], T (1, x)];21.634774684906006
13;ResNet18_2;0.3601035;0.0023967932013421616;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;11;[V f, U (2, f), ULambda y, T (32, c), Hoist_vars [c], T (3, h), T (14, x),  T (3, w), T (2, c), T (2, f), T (2, x),  Lambda_apply y [((Iter 5), (Arg 9)), ((Iter 1), (Arg 11))], T (2, x)];22.951106071472168
14;ResNet18_2;0.6653534;0.0044166900774222145;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;9;[V f, U (2, f), ULambda y, U (3, h), T (16, c), Hoist_vars [c], T (14, x),  T (3, w), T (4, c), T (2, f), T (1, x),  Lambda_apply y [((Iter 2), (Arg 10)), ((Iter 3), (Arg 12))], T (4, x)];24.370052099227905
15;ResNet18_2;0.5503222;0.026129164471142212;1;axe_xx_0,axe_yy_0,axe_xx_1,axe_out_channels_0;10;[V f, U (2, f), U (14, y), T (16, c), Hoist_vars [c], T (3, h), T (14, x),  T (3, w), T (4, c), T (2, f), T (2, x), T (4, y), T (2, x)];25.46219801902771
