perf, CACHE_MISS_L1, CACHE_MISS_L2
56.77,5013910,137154
39.69,8407690,170540
46.41,7777515,155517
50.17,4327569,1809530
20.72,22699505,2546316
82.14,2972941,156223
87.93,8095598,64875
77.82,3422101,122321
88.67,7164554,82611
52.42,4653480,131070
57.87,4072275,744276
93.12,5756817,112005
66.44,3465373,633485
73.83,3893611,103644
75.43,2787431,155605
51.16,4887584,116751
34.07,11257453,133592
72.04,3503148,256011
45.68,6367230,216650
78.73,4042883,161353
86.77,4914685,89947
58.30,4544006,162262
10.60,47097921,299716
80.39,6725659,179527
82.66,3182711,134522
87.25,3515337,194136
79.40,4526262,109372
22.16,22623736,763941
63.20,3364688,266742
59.89,2894311,84310
89.33,6973388,108572
13.47,36284098,146943
75.29,3088048,158254
49.50,5177886,89330
21.89,22900958,182136
46.56,6671906,179091
45.79,7892608,151767
74.78,2686213,96337
83.96,3800498,169112
57.98,3586034,81583
86.93,6179566,91365
62.28,4170466,145944
87.30,6464304,93038
21.33,22953918,360918
80.73,4275128,158613
85.17,3184838,350706
83.06,6170049,93359
82.92,4396168,89420
81.76,3258682,329946
90.20,6163816,75588
86.40,7232783,72743
87.59,5481868,164638
77.66,2988717,218037
56.10,4741862,168280
74.43,3342021,150459
65.46,4139840,103466
44.45,7537839,100662
65.76,4444509,143186
38.24,12489387,369027
86.23,3415294,163446
85.52,4928731,144531
57.23,4860761,94849
81.19,4775657,242227
86.73,3155188,299169
49.71,5596481,78592
81.48,4443005,189699
33.36,12747454,331719
72.34,2514871,165057
63.88,4393187,127456
34.09,8866189,145373
49.49,5196307,98651
54.39,6135729,119105
87.74,3931040,69924
81.60,3175625,155296
85.83,3693345,410098
48.95,6591936,145579
85.02,3519044,342777
91.08,5380244,125874
33.35,8450177,178420
22.57,22911213,266081
59.25,5246754,98830
40.74,6187808,82957
80.94,4778014,245133
38.99,12675676,148208
16.19,30365379,2922613
78.11,3015304,565576
81.90,4403978,105577
82.58,4523974,87235
44.56,9061614,314605
84.44,4262474,85821
65.15,4374216,107881
60.75,4759848,293732
84.29,3073021,116336
49.80,3517380,84466
30.37,5023217,114622
52.48,3735725,90285
67.61,3159254,739764
89.78,5462803,120944
93.13,5615714,97828
44.60,8269508,117119
87.54,3983772,272185
76.19,3427497,143753
73.77,4196213,638959
38.67,5422363,141599
84.09,4041013,286806
75.67,3551283,110176
66.87,5758801,112085
44.84,7887327,582244
46.88,6773841,149539
57.48,6370121,67755
66.05,2666982,84334
87.91,5130351,153869
64.52,2802623,139010
85.98,4934388,156115
83.07,3786162,85174
33.83,11317283,228695
87.21,4364476,160371
47.75,6629504,104357
76.72,4187712,183691
84.92,3799142,88280
70.10,3490394,127456
29.23,6924687,125795
73.43,8151966,83462
81.01,2773694,160366
65.36,2078390,121038
76.12,3338417,173814
57.79,6996289,80547
12.48,36388017,3869140
13.28,36381936,475069
36.91,6679111,92871
72.20,3341849,259473
91.67,5259875,93244
31.72,10656160,138040
63.16,4220668,95249
91.19,3692783,164338
83.76,3524269,312818
49.65,4207204,130319
87.02,3225943,79650
76.25,3398621,341620
17.11,11759382,85766
85.16,2847882,72589
86.68,3752219,160107
45.31,7776398,288329
79.88,3247733,158343
39.06,6854225,106900
86.51,3309840,73431
86.15,4710342,175630
36.13,6424380,2383614
81.60,4376503,195015
67.89,3592796,142499
58.70,6482811,68450
75.38,4409857,612936
82.66,4534037,180114
11.80,37772085,153534
44.91,3092691,169516
50.19,4312364,1481444
80.80,5146773,217480
39.47,8009921,208070
80.50,5112657,92852
73.79,3151233,602662
66.17,4856903,68797
17.20,30685851,904197
45.59,7782144,312334
90.58,4671775,70270
82.01,4040853,169452
91.94,6697310,117458
39.24,11509991,107424
74.18,5030775,164367
77.64,4168575,430714
43.92,5553833,92976
46.15,5218184,105363
32.77,12823929,115703
44.27,5190279,95514
76.38,3120792,85815
38.49,10225470,174633
10.05,50098624,152322
65.27,4463558,140444
87.97,4744418,164235
69.40,3336953,111844
59.81,4676765,72047
80.40,4147185,141636
18.99,23700985,2513937
63.98,4656727,268759
82.26,4388594,87127
75.39,2507849,115590
19.27,23676530,2478603
75.37,2940296,170234
67.67,2779984,127181
34.96,5818516,96804
68.65,3512469,140830
45.26,9031436,141026
11.65,42758437,146312
84.83,6476750,165298
58.70,2652491,1085420
48.72,5533388,85646
79.11,3854686,132406
79.28,4050790,474310
74.74,2769993,659749
87.70,3804344,83117
45.42,7558417,310301
