perf, CACHE_MISS_L1, CACHE_MISS_L2
32.91,2537489,248770
57.54,837201,102829
43.79,1367650,256796
88.70,1944791,45219
23.99,985776,518391
84.12,597093,28951
88.26,1254470,29652
44.30,1280116,31868
72.80,748467,205040
84.88,745310,34194
35.92,1394688,671560
52.60,1096921,393048
44.85,2068317,93089
65.56,1169457,30815
41.19,2354803,29070
10.73,10862098,1128966
71.51,1175817,34391
37.51,1386325,29058
81.76,406328,61302
43.00,2453286,73040
55.29,1534267,28627
83.83,709720,29062
83.28,648043,35047
86.51,320796,29088
88.57,1210901,30047
35.84,1540896,31317
87.25,1201782,28865
86.21,888193,29298
32.90,2057813,1007528
69.96,774811,76322
74.20,671460,58388
80.79,1278543,28603
20.63,5150631,100183
74.63,665553,49919
51.31,1532868,211495
83.80,1150718,29109
65.17,1026715,29462
83.86,872676,56492
77.26,447215,68609
80.85,624592,30161
49.74,1668363,29646
49.88,1256659,81385
86.60,1244237,55115
51.57,794204,110994
23.74,5466241,148208
70.30,609463,68170
76.88,580278,155675
60.06,984352,30172
41.25,1923312,30520
92.25,1432839,28757
86.01,767885,29149
23.20,3414993,1492459
57.49,1373218,397142
56.38,1223631,81961
69.24,557870,29630
43.32,1620881,30857
91.81,1433271,29028
58.82,1031026,60815
81.32,440069,110592
87.65,637745,28590
32.26,1213343,32894
69.40,1031154,33297
47.91,931104,76119
53.25,1153907,28735
24.77,1887138,36834
11.19,10864281,1090782
35.36,1145696,394876
86.65,475923,46013
36.64,1141417,381871
73.79,851509,28742
86.54,517904,45347
72.22,661887,74199
86.92,477892,43740
51.12,1125636,92411
26.50,3772936,590043
55.62,1573209,28666
24.87,3413046,1513245
69.88,839596,29313
83.61,1147485,29641
14.11,4454040,1661307
40.19,798749,28896
67.95,901170,29617
79.70,369178,110934
22.67,4289071,1000342
10.66,10865283,1152972
70.62,608252,101708
82.57,662291,28841
79.21,511276,111256
89.14,1968746,33177
34.03,2897299,390191
78.21,462096,59471
87.03,1193493,41556
80.00,505467,44835
77.91,384721,42347
54.75,1104013,35384
76.90,789749,33115
45.10,1274843,28589
80.34,472940,30299
77.19,463408,32540
28.16,944445,29089
84.45,425716,32831
69.04,647903,114998
83.58,460341,29778
70.17,582032,242407
48.72,1443067,36558
87.33,726430,29877
83.21,682434,99609
71.91,468581,287009
32.85,1843048,30618
45.68,1947369,34747
20.13,5270761,1015387
88.89,1177300,29107
44.52,1910981,28621
53.98,998372,390775
66.96,549539,28658
85.33,464821,42918
63.39,1171277,30608
84.03,836190,51828
85.43,985529,63777
85.54,809143,43199
86.86,1203398,30499
57.25,810405,28986
69.18,1186143,28862
53.66,815012,28604
80.94,426179,30070
82.56,546931,35271
51.18,1595796,28779
69.30,685859,30950
40.96,1527876,386148
33.92,1552313,490800
69.61,1376399,205410
33.01,1297465,28750
32.65,1083597,35158
85.25,438499,29072
87.77,1411187,34413
68.82,664255,179639
79.18,503954,169504
82.86,669888,101993
59.58,700331,201281
49.20,1549090,28585
67.09,568246,195138
28.09,946320,28856
51.65,853542,573245
25.50,3733301,693576
84.84,603850,31286
88.27,1198379,31980
70.99,801497,29365
71.06,882604,28696
84.32,883790,35117
73.39,624913,71335
90.11,1968022,29566
86.97,1199022,29219
84.97,481068,36583
82.28,671052,28586
89.67,940562,34342
71.72,1073983,28783
49.86,1598748,30206
81.12,1075640,28622
86.37,1572945,61064
36.17,1518818,35907
20.69,5449241,683611
86.34,403423,54305
76.43,404378,62073
53.57,1202558,404600
63.46,1092251,34013
80.26,563826,30490
83.70,408434,40030
92.14,1295885,34480
84.58,748026,62627
91.81,1432259,30744
72.76,619540,111000
56.12,1526733,390921
71.80,828885,31347
50.61,1841562,28640
20.49,5357229,1011675
51.47,678625,350375
73.57,614597,84471
27.49,1016033,35678
49.90,1248815,30439
55.98,796387,516512
53.09,1156138,387040
88.80,1974707,30191
38.55,2265559,29157
66.97,621338,199507
43.75,1458534,30060
26.16,2085139,29096
55.26,1515953,28672
78.85,495352,55907
40.42,1401359,894099
76.10,430530,111729
80.55,443987,114710
88.38,773337,29637
53.32,1189047,30208
91.52,1319489,28618
69.09,1093278,28600
82.02,474171,48253
64.00,1139283,29945
87.85,811054,31012
36.40,1363002,149732
33.31,1448665,88390
