IdRun;NameConv;Time(ms);std;NbMicroKernel;AxeFuse;SizeAxeFuse;Schema
0;MobilNet_4;0.15233338666666665;0.001520227329725534;2;axe_yy1_0,axe_xx1_0;15;[V f, U (4, f), ULambda y, U (3, w), T (32, c), Hoist_vars [c], T (2, x),  T (1, w), T (3, h), T (2, y), T (2, f), T (4, c), T (14, x),  Lambda_apply y [((Iter 1), (Arg 4)), ((Iter 2), (Arg 5))]]
1;MobilNet_4;0.3635668666666667;0.02754160133018173;1;axe_yy_0,axe_xx_0;15;[V f, U (1, f), ULambda y, U (3, h), T (4, c), Hoist_vars [c], T (2, x),  T (3, w), T (1, h),  Lambda_apply y [((Iter 2), (Arg 9)), ((Iter 1), (Arg 10))], T (8, f),  T (32, c), T (14, x), T (1, y)]
2;MobilNet_4;0.12631905000000002;0.002858826333081857;2;axe_yy1_0,axe_xx1_0;30;[V f, U (2, f), ULambda y, T (64, c), Hoist_vars [c], T (1, x), T (3, w),  T (3, h), T (1, y), T (4, f), T (2, c), T (28, x),  Lambda_apply y [((Iter 2), (Arg 9)), ((Iter 1), (Arg 10))]]
3;MobilNet_4;0.24826171666666666;0.0029055766494507193;1;axe_yy_0,axe_xx_0;9;[V f, U (4, f), U (7, y), U (3, h), T (128, c), Hoist_vars [c], T (4, x),  T (3, w), T (1, h), T (2, y), T (2, f), T (1, c), T (7, x), T (2, y)]
4;MobilNet_4;3.50594081;0.23220954896893192;2;axe_yy1_0,axe_xx1_0;5;[V f, U (2, f), ULambda y, T (1, c), Hoist_vars [c], T (7, x), T (3, w),  T (3, h), T (1, y), T (4, f), T (128, c), T (4, x),  Lambda_apply y [((Iter 1), (Arg 8)), ((Iter 2), (Arg 10))]]
5;MobilNet_4;0.67088631;0.06418378556745384;1;axe_yy_0,axe_xx_0;15;[V f, U (4, f), ULambda y, U (3, w), T (2, c), Hoist_vars [c], T (2, x),  T (1, w), T (3, h),  Lambda_apply y [((Iter 2), (Arg 5)), ((Iter 3), (Arg 6))], T (2, f),  T (64, c), T (14, x), T (1, y)]
6;MobilNet_4;1.7319136733333331;0.1292124863836782;1;axe_yy_0,axe_xx_0;5;[V f, U (2, f), ULambda y, T (4, c), Hoist_vars [c], T (7, x), T (3, w),  T (3, h), Lambda_apply y [((Iter 1), (Arg 13)), ((Iter 1), (Arg 15))],  T (4, f), T (32, c), T (4, x), T (1, y)]
7;MobilNet_4;20.77601607;0.6736034412414217;1;axe_out_channels_0,axe_yy_1;6;[V f, U (2, f), U (14, y), T (1, c), Hoist_vars [c], T (14, x), T (3, w),  T (3, h), T (2, y), T (4, f), T (128, c), T (2, x), T (1, y)]
8;MobilNet_4;1.5204856033333332;0.23270728356673206;1;axe_yy_0,axe_xx_0;5;[V f, U (4, f), U (7, y), U (3, w), T (8, c), Hoist_vars [c], T (28, x),  T (1, w), T (3, h), T (1, y), T (2, f), T (16, c), T (1, x), T (4, y)]
9;MobilNet_4;0.6554717233333334;0.11370113141752716;1;axe_yy_0,axe_xx_0;6;[V f, U (4, f), U (7, y), U (3, w), T (8, c), Hoist_vars [c], T (7, x),  T (1, w), T (3, h), T (2, y), T (2, f), T (16, c), T (4, x), T (2, y)]
10;MobilNet_4;4.26650678;0.13735444170233949;2;axe_out_channels1_0,axe_yy1_1;5;[V f, U (2, f), ULambda y, T (8, c), Hoist_vars [c], T (28, x), T (3, w),  T (3, h), T (1, y), T (4, f), T (16, c), T (1, x),  Lambda_apply y [((Iter 1), (Arg 8)), ((Iter 2), (Arg 10))]]
11;MobilNet_4;0.3635726366666667;0.012005631096813145;2;axe_yy1_0,axe_xx1_0;9;[V f, U (4, f), ULambda y, U (3, w), T (4, c), Hoist_vars [c], T (4, x),  T (1, w), T (3, h), T (1, y), T (2, f), T (32, c), T (7, x),  Lambda_apply y [((Iter 2), (Arg 5)), ((Iter 3), (Arg 6))]]
12;MobilNet_4;0.24262672333333332;0.0034486874123691533;1;axe_yy_0,axe_xx_0;18;[V f, U (4, f), U (7, y), U (3, h), T (8, c), Hoist_vars [c], T (2, x),  T (3, w), T (1, h), T (1, y), T (2, f), T (16, c), T (14, x), T (4, y)]
13;MobilNet_4;1.08097438;0.245460445309658;1;axe_yy_0,axe_xx_0;4;[V f, U (4, f), U (7, y), U (3, w), T (64, c), Hoist_vars [c], T (14, x),  T (1, w), T (3, h), T (2, y), T (2, f), T (2, c), T (2, x), T (2, y)]
