IdRun;NameConv;Time(ms);std;NbMicroKernel;AxeFuse;SizeAxeFuse;Schema
0;ResNet18_1;0.39785718666666664;0.09394230998803374;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;65;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (1, x), T (7, w),  T (7, h), T (56, x),  Lambda_apply y [((Iter 7), (Arg 8)), ((Iter 4), (Arg 14))], T (2, f),  T (1, c), T (2, x)]
1;ResNet18_1;0.17829008666666665;0.0014688451328396291;2;axe_xx1_0;28;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (4, x), T (7, w),  T (7, h), T (1, x),  Lambda_apply y [((Iter 1), (Arg 8)), ((Iter 8), (Arg 13))], T (2, f),  T (1, c), T (28, x)]
2;ResNet18_1;6.911132426666667;0.8030249629116142;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;10;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (28, x), T (7, w),  T (7, h), T (1, x),  Lambda_apply y [((Iter 7), (Arg 8)), ((Iter 4), (Arg 14))], T (2, f),  T (1, c), T (4, x)]
3;ResNet18_1;1.61574015;0.16697993656471713;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;20;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (16, x), T (7, w),  T (7, h), T (7, x),  Lambda_apply y [((Iter 11), (Arg 9)), ((Iter 1), (Arg 13))], T (2, f),  T (1, c), T (1, x)]
4;ResNet18_1;2.41872487;0.5171355618677166;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;7;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (56, x), T (7, w),  T (7, h), T (2, x),  Lambda_apply y [((Iter 3), (Arg 8)), ((Iter 8), (Arg 11))], T (2, f),  T (1, c), T (1, x)]
5;ResNet18_1;2.0690293333333334;0.05204000856940757;1;axe_out_channels_0,axe_yy_0,axe_xx_1;20;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (28, x), T (7, w),  T (7, h), T (4, x), T (14, y), T (2, f), T (1, c), T (1, x)]
6;ResNet18_1;1.0820721033333334;0.24937043091929342;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;11;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (7, x), T (7, w),  T (7, h), T (2, x),  Lambda_apply y [((Iter 7), (Arg 8)), ((Iter 4), (Arg 14))], T (2, f),  T (1, c), T (8, x)]
7;ResNet18_1;3.3646132433333333;0.2837552056797565;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;15;[V f, U (2, f), ULambda y, T (1, c), Hoist_vars [c], T (14, x), T (7, w),  T (7, h), T (8, x),  Lambda_apply y [((Iter 5), (Arg 8)), ((Iter 8), (Arg 9))], T (2, f),  T (3, c), T (1, x)]
8;ResNet18_1;3.03558584;0.2849463010791884;1;axe_out_channels_0,axe_yy_0,axe_xx_1;17;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (56, x), T (7, w),  T (7, h), T (1, x), T (14, y), T (2, f), T (1, c), T (2, x)]
9;ResNet18_1;0.18957596333333332;0.010436664782321225;2;axe_xx1_0;112;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (1, x), T (7, w),  T (7, h), T (1, x),  Lambda_apply y [((Iter 7), (Arg 10)), ((Iter 3), (Arg 14))], T (2, f),  T (1, c), T (112, x)]
10;ResNet18_1;0.23736955666666665;0.04258389440902393;1;axe_out_channels_0,axe_yy_0,axe_xx_1;72;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (2, x), T (7, w),  T (7, h), T (56, x), T (14, y), T (2, f), T (1, c), T (1, x)]
11;ResNet18_1;0.55435817;0.003519679106189164;2;axe_xx1_0;16;[V f, U (2, f), ULambda y, T (1, c), Hoist_vars [c], T (7, x), T (7, w),  T (7, h), T (1, x),  Lambda_apply y [((Iter 5), (Arg 8)), ((Iter 8), (Arg 9))], T (2, f),  T (3, c), T (16, x)]
12;ResNet18_1;0.3646923833333333;0.051729888670364245;2;axe_xx1_0;112;[V f, U (2, f), ULambda y, T (1, c), Hoist_vars [c], T (1, x), T (7, w),  T (7, h), T (1, x),  Lambda_apply y [((Iter 9), (Arg 10)), ((Iter 2), (Arg 11))], T (2, f),  T (3, c), T (112, x)]
13;ResNet18_1;0.16517094333333332;0.0014422141858229387;2;axe_xx1_0;56;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (2, x), T (7, w),  T (7, h), T (1, x),  Lambda_apply y [((Iter 5), (Arg 8)), ((Iter 8), (Arg 9))], T (2, f),  T (1, c), T (56, x)]
14;ResNet18_1;1.5469612833333333;0.48841449245627105;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;19;[V f, U (2, f), ULambda y, T (1, c), Hoist_vars [c], T (1, x), T (7, w),  T (7, h), T (8, x),  Lambda_apply y [((Iter 9), (Arg 10)), ((Iter 2), (Arg 11))], T (2, f),  T (3, c), T (14, x)]
15;ResNet18_1;0.46975675;0.0708079460732092;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;117;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (1, x), T (7, w),  T (7, h), T (112, x),  Lambda_apply y [((Iter 3), (Arg 8)), ((Iter 8), (Arg 11))], T (2, f),  T (1, c), T (1, x)]
16;ResNet18_1;0.4074932733333333;0.08568795927017439;2;axe_xx1_0;28;[V f, U (2, f), ULambda y, T (1, c), Hoist_vars [c], T (1, x), T (7, w),  T (7, h), T (4, x),  Lambda_apply y [((Iter 7), (Arg 12)), ((Iter 2), (Arg 14))], T (2, f),  T (3, c), T (28, x)]
17;ResNet18_1;0.36325173;0.06767303255952511;2;axe_xx1_0;28;[V f, U (2, f), ULambda y, T (1, c), Hoist_vars [c], T (1, x), T (7, w),  T (7, h), T (4, x),  Lambda_apply y [((Iter 7), (Arg 10)), ((Iter 3), (Arg 14))], T (2, f),  T (3, c), T (28, x)]
18;ResNet18_1;3.6219863100000005;0.542348769713194;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;12;[V f, U (2, f), ULambda y, T (1, c), Hoist_vars [c], T (16, x), T (7, w),  T (7, h), T (7, x),  Lambda_apply y [((Iter 3), (Arg 8)), ((Iter 8), (Arg 11))], T (2, f),  T (3, c), T (1, x)]
19;ResNet18_1;0.3068859133333333;0.03546348976816143;1;axe_xx_0;28;[V f, U (2, f), U (8, y), T (1, c), Hoist_vars [c], T (4, x), T (7, w),  T (7, h), T (1, x), T (14, y), T (2, f), T (3, c), T (28, x)]
20;ResNet18_1;0.6024101866666667;0.1940240242720274;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;37;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (1, x), T (7, w),  T (7, h), T (28, x),  Lambda_apply y [((Iter 7), (Arg 8)), ((Iter 4), (Arg 14))], T (2, f),  T (1, c), T (4, x)]
21;ResNet18_1;0.8387133133333332;0.22710622668667102;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;23;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (1, x), T (7, w),  T (7, h), T (16, x),  Lambda_apply y [((Iter 5), (Arg 12)), ((Iter 4), (Arg 13))], T (2, f),  T (1, c), T (7, x)]
22;ResNet18_1;0.16547544333333336;0.001443811722417058;2;axe_xx1_0;56;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (2, x), T (7, w),  T (7, h), T (1, x),  Lambda_apply y [((Iter 5), (Arg 8)), ((Iter 8), (Arg 9))], T (2, f),  T (1, c), T (56, x)]
23;ResNet18_1;0.6829043233333334;0.1631507584897192;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;69;[V f, U (2, f), ULambda y, T (1, c), Hoist_vars [c], T (2, x), T (7, w),  T (7, h), T (56, x),  Lambda_apply y [((Iter 11), (Arg 9)), ((Iter 1), (Arg 13))], T (2, f),  T (3, c), T (1, x)]
24;ResNet18_1;0.7260018433333333;0.19939172622476486;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;39;[V f, U (2, f), ULambda y, T (1, c), Hoist_vars [c], T (2, x), T (7, w),  T (7, h), T (28, x),  Lambda_apply y [((Iter 9), (Arg 11)), ((Iter 1), (Arg 13))], T (2, f),  T (3, c), T (2, x)]
25;ResNet18_1;2.332881926666667;0.34051883528952137;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;17;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (14, x), T (7, w),  T (7, h), T (8, x),  Lambda_apply y [((Iter 7), (Arg 12)), ((Iter 2), (Arg 14))], T (2, f),  T (1, c), T (1, x)]
26;ResNet18_1;0.32736736666666666;0.04015702576024385;2;axe_xx1_0;56;[V f, U (2, f), ULambda y, T (1, c), Hoist_vars [c], T (1, x), T (7, w),  T (7, h), T (2, x),  Lambda_apply y [((Iter 7), (Arg 8)), ((Iter 4), (Arg 14))], T (2, f),  T (3, c), T (56, x)]
27;ResNet18_1;4.583931379999999;0.41682869359392866;1;axe_out_channels_0,axe_yy_0,axe_xx_1;18;[V f, U (2, f), U (14, y), T (1, c), Hoist_vars [c], T (14, x), T (7, w),  T (7, h), T (8, x), T (8, y), T (2, f), T (3, c), T (1, x)]
28;ResNet18_1;0.17381512333333332;0.0014086691365375072;2;axe_xx1_0;28;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (1, x), T (7, w),  T (7, h), T (4, x),  Lambda_apply y [((Iter 9), (Arg 10)), ((Iter 2), (Arg 11))], T (2, f),  T (1, c), T (28, x)]
29;ResNet18_1;0.9806180266666666;0.2667919922596044;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;59;[V f, U (2, f), ULambda y, T (1, c), Hoist_vars [c], T (1, x), T (7, w),  T (7, h), T (56, x),  Lambda_apply y [((Iter 1), (Arg 8)), ((Iter 8), (Arg 13))], T (2, f),  T (3, c), T (2, x)]
30;ResNet18_1;0.34264870666666664;0.053229737542909855;2;axe_xx1_0;28;[V f, U (2, f), ULambda y, T (1, c), Hoist_vars [c], T (4, x), T (7, w),  T (7, h), T (1, x),  Lambda_apply y [((Iter 7), (Arg 8)), ((Iter 4), (Arg 14))], T (2, f),  T (3, c), T (28, x)]
31;ResNet18_1;4.339695963333333;0.19372613953559756;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;11;[V f, U (2, f), ULambda y, T (1, c), Hoist_vars [c], T (7, x), T (7, w),  T (7, h), T (4, x),  Lambda_apply y [((Iter 5), (Arg 12)), ((Iter 4), (Arg 13))], T (2, f),  T (3, c), T (4, x)]
