IdRun;NameConv;Time(ms);std;NbMicroKernel;AxeFuse;SizeAxeFuse;Schema
0;ResNet18_2;4.8720347;1.37839071931329;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;12;[V f, U (1, f), ULambda y, U (3, h), T (1, c), Hoist_vars [c], T (7, x),  T (3, w), T (1, h), T (4, x),  Lambda_apply y [((Iter 4), (Arg 11)), ((Iter 1), (Arg 12))], T (4, f),  T (64, c), T (2, x)]
1;ResNet18_2;0.4408377466666667;0.07989633242068706;1;axe_out_channels_0,axe_yy_0,axe_xx_1;34;[V f, U (2, f), U (14, y), T (8, c), Hoist_vars [c], T (1, x), T (3, w),  T (3, h), T (28, x), T (4, y), T (2, f), T (8, c), T (2, x)]
2;ResNet18_2;3.139199506666667;0.6504776650490629;1;axe_out_channels_0,axe_yy_0,axe_xx_1;19;[V f, U (4, f), U (4, y), U (3, w), T (1, c), Hoist_vars [c], T (7, x),  T (1, w), T (3, h), T (4, x), T (14, y), T (1, f), T (64, c), T (2, x)]
3;ResNet18_2;0.16637931;0.014270678790902783;1;axe_out_channels_0,axe_yy_0,axe_xx_1;43;[V f, U (4, f), U (4, y), U (3, w), T (32, c), Hoist_vars [c], T (1, x),  T (1, w), T (3, h), T (28, x), T (14, y), T (1, f), T (2, c), T (2, x)]
4;ResNet18_2;1.7600016666666665;0.43349676886060784;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;32;[V f, U (2, f), ULambda y, T (2, c), Hoist_vars [c], T (2, x), T (3, w),  T (3, h), T (28, x),  Lambda_apply y [((Iter 2), (Arg 10)), ((Iter 3), (Arg 12))], T (2, f),  T (32, c), T (1, x)]
5;ResNet18_2;0.21082930333333333;0.0014402840854382357;2;axe_xx1_0;14;[V f, U (1, f), ULambda y, U (3, h), T (32, c), Hoist_vars [c], T (4, x),  T (3, w), T (1, h), T (1, x),  Lambda_apply y [((Iter 2), (Arg 10)), ((Iter 3), (Arg 12))], T (4, f),  T (2, c), T (14, x)]
6;ResNet18_2;1.2996136233333335;0.36325805051630755;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;15;[V f, U (4, f), ULambda y, U (3, w), T (16, c), Hoist_vars [c], T (1, x),  T (1, w), T (3, h), T (7, x),  Lambda_apply y [((Iter 7), (Arg 5)), ((Iter 3), (Arg 7))], T (1, f),  T (4, c), T (8, x)]
7;ResNet18_2;0.8873050433333335;0.16506838864594747;2;axe_xx1_0;7;[V f, U (2, f), ULambda y, U (3, h), T (2, c), Hoist_vars [c], T (8, x),  T (3, w), T (1, h), T (1, x),  Lambda_apply y [((Iter 2), (Arg 10)), ((Iter 3), (Arg 12))], T (2, f),  T (32, c), T (7, x)]
8;ResNet18_2;0.2409840233333333;0.005668215761557307;1;axe_out_channels_0,axe_yy_0,axe_xx_1;29;[V f, U (4, f), U (4, y), U (3, w), T (8, c), Hoist_vars [c], T (4, x),  T (1, w), T (3, h), T (14, x), T (14, y), T (1, f), T (8, c), T (1, x)]
9;ResNet18_2;1.0962201500000002;0.15112005041208304;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;15;[V f, U (4, f), ULambda y, U (3, h), T (16, c), Hoist_vars [c], T (2, x),  T (3, w), T (1, h), T (7, x),  Lambda_apply y [((Iter 7), (Arg 5)), ((Iter 3), (Arg 7))], T (1, f),  T (4, c), T (4, x)]
10;ResNet18_2;1.5060436300000002;0.3329515697707089;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;15;[V f, U (2, f), ULambda y, T (4, c), Hoist_vars [c], T (7, x), T (3, w),  T (3, h), T (8, x),  Lambda_apply y [((Iter 5), (Arg 9)), ((Iter 1), (Arg 11))], T (2, f),  T (16, c), T (1, x)]
11;ResNet18_2;2.3490130033333334;0.12957761830440678;1;axe_out_channels_0,axe_yy_0,axe_xx_1;10;[V f, U (4, f), U (7, y), U (3, w), T (4, c), Hoist_vars [c], T (56, x),  T (1, w), T (3, h), T (1, x), T (8, y), T (1, f), T (16, c), T (1, x)]
12;ResNet18_2;5.214014986666667;0.23164585995983214;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;6;[V f, U (2, f), ULambda y, T (8, c), Hoist_vars [c], T (28, x), T (3, w),  T (3, h), T (1, x),  Lambda_apply y [((Iter 3), (Arg 10)), ((Iter 2), (Arg 13))], T (2, f),  T (8, c), T (2, x)]
13;ResNet18_2;1.9063023400000003;0.22239283072127067;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;17;[V f, U (1, f), ULambda y, U (3, h), T (8, c), Hoist_vars [c], T (1, x),  T (3, w), T (1, h), T (8, x),  Lambda_apply y [((Iter 5), (Arg 9)), ((Iter 1), (Arg 11))], T (4, f),  T (8, c), T (7, x)]
