perf, CACHE_MISS_L1, CACHE_MISS_L2
33.40,4828578,4275613
47.94,5288082,1460392
48.33,5275745,1445169
41.08,6887840,3538209
26.06,13742912,4070838
26.17,13813480,3829470
17.26,23204711,3550397
17.32,22908876,3561216
17.33,22685107,3570625
10.28,34825084,610495
10.29,34878580,611017
33.68,4829280,4275541
33.48,4822828,4279640
33.72,4995368,2254705
49.28,5283984,1431977
51.40,5863360,1928604
27.48,13861653,3993266
26.24,13763076,3965327
17.41,22694949,3480346
10.23,35117073,609864
10.26,35093169,613626
5.56,66673465,610187
5.56,66233984,615877
5.57,66231302,613927
51.15,5281976,1427507
49.92,5275852,1428315
48.38,5295443,1489432
47.57,5839041,1955860
47.50,5832538,1975878
17.39,22696822,3695410
17.45,22817489,3627453
10.16,35039791,609648
10.24,35051344,614871
5.56,66685631,616738
5.55,66592171,611206
52.23,5295334,1336678
48.17,5837084,1949240
34.04,9050739,4003647
27.55,13833348,3909302
18.11,22764638,3676317
17.21,22989295,3485316
10.23,34952784,608323
10.27,34873579,615276
10.25,35027262,615790
5.57,66202632,614587
5.57,66203425,616202
52.77,5828378,1508655
39.18,9019667,3710673
35.18,9119412,3760667
10.31,34808280,614686
10.24,35000537,613114
5.58,66406615,608148
5.50,66526440,610617
34.38,9061661,3852402
27.18,13838916,3410686
18.40,22656918,2613237
17.19,22851352,3567793
5.57,66213735,607280
5.52,66696855,610965
26.19,13828434,3872448
18.92,22779384,1242214
18.52,22649999,1606951
17.64,22955957,2462291
5.51,67296921,610668
32.02,13923776,981043
31.61,13788045,1221291
28.01,13874913,2691134
18.45,22911622,1626190
10.18,35006189,599655
10.32,34793916,609014
5.56,67708114,612211
10.45,35112264,1059699
5.57,66207723,704707
5.60,66442341,1303613
23.88,5042368,4187618
26.89,5065378,4224957
45.61,5640378,1443536
46.07,5639170,1453402
45.48,5645487,1414994
42.54,6326765,2060747
29.80,11330235,3802043
29.49,11358698,3819060
21.04,16410146,3769868
20.97,16375836,3880845
21.44,16429478,3697726
14.02,23347588,610270
27.04,5045549,4189968
27.27,5058203,4229432
28.74,5150360,4142238
28.64,5160757,4166182
47.56,5633155,1401181
43.81,6348462,2183403
21.13,16373095,3933442
28.49,5151812,4150595
45.48,5632068,1402610
42.20,6334511,2158271
35.05,7941617,3568442
32.66,11287096,3959600
29.09,11427313,3587513
13.92,23436866,614457
13.86,23384890,610276
46.10,5631122,1359973
35.75,7949978,3410429
32.27,11240210,3960999
29.13,11345705,4056566
22.86,16377484,3854591
22.50,16273610,3758992
13.85,23425452,616294
46.56,5286445,965079
46.53,5653038,1274203
44.79,6347364,1911373
36.10,7886940,3462974
22.55,16283657,4091460
13.97,23654262,609992
48.27,5635259,1134806
45.78,6317904,1506917
42.65,6353192,2085068
42.63,7989499,1841775
13.89,23410572,610029
50.38,6331237,1100994
38.24,7926265,2501709
28.86,11409096,3959176
22.04,16274745,2603702
48.21,7971892,945085
34.89,11404263,1632868
24.17,16315510,1238331
37.24,11397023,1276761
32.10,11439830,2514697
23.36,16262216,1624080
14.09,23429478,1231166
24.21,11151959,4186919
25.87,11209421,4204923
26.69,11250576,4243564
27.17,11307659,4155890
39.72,10040540,1543827
31.47,12358922,3946188
32.04,12360675,3709135
27.22,15369914,3774030
19.86,20458969,3574572
14.14,27436134,610426
14.16,27400384,610454
26.09,11235215,4210029
23.96,11273228,4243880
25.75,11272045,4247114
26.77,11253607,4247819
28.15,11222762,4149619
42.58,9953136,1545598
40.07,10612539,2320174
39.72,10613690,2317557
38.11,10663494,2344236
31.75,12441158,3661094
26.97,15470566,3715301
20.53,20292276,3868633
14.13,27562444,610859
27.07,11246377,4250351
26.74,11252798,4242882
27.62,11308581,4163518
26.81,11310814,4155666
41.49,9674866,1046828
42.10,9979746,1428385
29.13,15342607,3934429
26.70,15479659,3688464
21.07,20230971,3651975
19.95,20500564,3868695
14.12,27447987,610170
14.33,27440854,610015
42.16,9638646,1044694
44.11,9899164,1418367
41.70,9954156,1480972
34.63,12422002,3757694
31.81,12487665,3693182
26.97,15461307,3849859
14.13,27462379,614228
14.29,27467132,615526
43.69,9948339,1276169
35.60,12320637,3562935
31.19,12481414,3912202
26.66,15497841,3867794
21.37,20260373,3537246
20.00,20594433,3677317
42.94,9944171,1222421
42.30,9932587,1358185
29.13,15463148,2565667
20.96,20385742,2621392
20.41,20336431,3009489
47.42,10422672,1181771
33.22,15390356,1019350
32.31,15399747,1389400
20.53,20466375,2517708
14.21,27490570,605955
14.37,27405998,609348
21.85,20376935,1550179
14.45,27383659,605450
14.12,27437780,610385
33.62,15388698,964845
14.30,27428077,606217
22.45,20365533,1299140
21.15,20380022,1690268
14.32,27388958,1248063
14.69,23745228,661302
