perf, CACHE_MISS_L1, CACHE_MISS_L2
59.77,39967,48666
60.05,40017,48766
59.09,40025,48554
58.96,40036,48908
59.52,40002,49054
60.81,40138,48902
56.03,39751,49056
58.19,39956,48818
64.42,40634,31894
62.57,40469,32549
65.46,40347,32727
67.86,41308,27344
65.16,41481,27284
66.53,41254,27132
67.57,41227,27504
69.28,41914,26120
67.97,42258,26136
66.73,41984,26128
68.92,41956,26031
67.92,41619,26072
67.77,42003,26221
68.53,45561,25769
66.75,44710,25689
69.17,51267,25637
68.40,51149,25596
69.92,42005,25577
61.18,43679,45411
59.65,43537,45390
59.89,44327,45382
59.29,43947,45488
59.52,44213,45856
64.54,44372,31681
63.64,45679,31504
63.95,44986,31387
64.66,44396,31425
64.72,44745,32159
66.61,45792,26914
66.09,45610,27216
66.98,46993,26086
66.86,47662,26087
66.48,46835,25941
66.17,47254,26133
67.17,47544,26117
66.46,47623,26104
67.08,51109,25863
67.30,51091,25846
67.25,53082,25645
65.08,52928,25646
67.98,51703,25590
66.88,27513,27545
67.50,27582,27593
66.11,26883,27661
67.02,27584,27465
66.91,26782,28239
66.65,27532,27865
67.99,27274,27449
67.80,27291,26504
67.70,27500,26486
67.62,27466,26492
69.17,27716,25909
68.74,27970,25978
68.81,28607,25879
68.72,28027,25702
68.08,28130,25744
68.35,26934,25715
68.86,27133,25638
68.85,27400,25685
66.56,28600,25707
68.93,28275,25675
67.65,28767,25654
68.58,26376,25571
60.16,41240,47677
60.33,41269,48316
58.93,41949,48313
60.07,41505,47957
60.50,41228,47804
59.96,41535,47695
66.31,41744,32041
63.53,42389,32440
63.69,42428,33768
65.39,42053,32243
65.21,42032,32101
64.21,41902,32743
65.55,43032,27381
66.21,43645,27561
67.23,43160,27300
67.88,42868,27530
68.22,44066,26151
67.02,45105,26267
65.91,44028,26126
68.78,44007,25983
66.85,43533,25979
66.71,47254,25849
69.73,45497,25577
59.70,42323,46568
58.09,43224,47226
58.70,43354,47226
59.53,42268,47051
58.85,42396,47135
64.55,42703,32324
63.18,43989,32219
62.73,43965,31802
62.86,44145,31301
63.39,43905,32560
64.78,43967,27169
64.62,45382,26992
66.58,43500,26918
65.26,45452,26065
67.14,45303,26181
66.71,45198,26156
66.33,48479,25769
67.09,51273,25620
66.84,49189,25587
60.34,42550,47004
58.74,42732,46768
58.92,42762,46960
59.50,42900,46756
58.94,42707,46950
57.82,43361,46568
60.32,42485,47038
64.97,43643,32125
62.35,43514,32535
62.59,43356,32435
63.79,43459,31529
63.07,43245,32358
66.39,45195,27033
63.11,44864,27191
65.55,44654,27040
66.69,45219,27199
64.87,45969,26158
64.67,45664,26131
66.10,45720,26084
67.28,45798,26059
67.13,45719,26220
67.58,50503,25842
64.10,47770,25707
66.40,52785,25684
68.45,48559,25597
60.14,42675,47324
58.50,43152,47186
60.55,42599,46708
59.12,42424,47155
59.98,42384,47430
63.85,43380,31786
63.62,43666,31268
62.84,43539,32334
63.81,43336,32162
65.15,43622,31920
65.65,44679,27784
66.49,44182,26965
67.30,44824,27502
67.84,45703,26204
65.28,46446,26138
65.33,46007,26201
67.78,46288,26237
68.07,45720,26087
67.08,49867,25874
64.78,48213,25695
67.28,49863,25911
67.02,51486,25675
69.49,48204,25618
57.49,43729,45640
57.52,44021,45943
56.78,44693,45576
54.85,44477,45602
57.19,43799,45756
59.63,43794,45977
62.77,44933,31662
63.27,44734,31415
62.40,45330,31642
63.14,45487,31473
63.47,44811,31012
65.18,46283,27033
64.90,46318,27058
64.15,48001,26167
64.31,47140,25974
65.69,47806,26184
65.33,47834,26053
66.01,47967,25945
64.59,53080,25620
65.35,52342,25615
70.70,26872,27819
69.07,26923,27990
68.90,27040,28010
70.35,26825,27967
71.06,26961,26386
70.55,26974,26515
69.78,27048,26540
68.99,27231,26518
70.64,26910,26444
71.15,27449,26105
71.10,27229,25862
70.48,27707,25929
70.37,27854,25732
71.68,27406,25790
71.94,26850,25733
69.57,27746,25700
69.60,27860,25700
71.18,27505,25703
71.84,25628,25610
