perf, CACHE_MISS_L1, CACHE_MISS_L2
81.71,13841596,1091576
23.94,27946297,18545293
25.61,11997205,12722419
20.69,25359276,22892395
32.78,34690269,8197562
41.97,17176058,6161278
20.95,25602209,21367623
77.57,7876739,922688
20.47,20989145,684765
78.95,13547150,321949
57.33,13908871,345754
25.98,32742527,231429
67.26,6738269,3501487
66.02,10524004,4320460
79.07,24359777,1147707
65.84,13885749,3773712
38.16,18753278,7718935
89.01,23376882,500364
67.31,7814089,3471833
77.16,24025213,1673431
82.43,23989563,945100
90.17,22872945,390066
84.77,23782532,584569
51.83,18530411,346065
81.93,24272056,331308
48.27,17402204,249671
49.71,22136707,248955
61.92,9319117,3954844
27.28,28552235,15108845
9.06,142817056,21624608
8.65,136816224,36028698
48.33,9209017,5367579
23.32,12349677,9136442
50.57,12016702,5393899
19.04,28980556,1080603
42.39,13622896,322726
86.25,12088157,240077
19.63,23929791,244012
32.59,17024874,262321
47.20,21212952,232082
61.33,11748537,2593260
35.86,14210834,11202670
82.26,10770643,980455
32.08,12355616,10092653
35.78,14435971,10340320
30.87,14914395,5595948
48.36,16712761,713488
75.77,8761941,846889
58.44,11467282,656361
70.52,8662264,367758
72.53,7394087,252353
74.90,10829279,240596
17.51,66208318,21698118
80.61,13282576,1230156
8.27,152705903,22907670
41.04,21723766,4883167
39.57,20949960,5913052
41.24,21782558,4455691
40.07,20951901,5534350
26.01,40353563,10570015
73.96,9472637,1599270
34.75,14864899,10537191
84.52,10666630,859834
42.85,15288061,683962
39.26,13541351,335855
73.17,11449737,252969
84.85,11288490,230900
76.08,12061203,230951
56.33,10947384,4563679
18.91,67539573,11374357
79.69,13296455,927999
81.59,13305797,919673
63.66,7035157,3157304
21.93,12000715,10506458
13.12,31954570,30659231
31.46,12227487,10512788
73.86,9263254,1421495
8.56,142521663,26584826
68.32,10987893,2373803
83.21,11687107,689800
37.34,18720813,332780
38.85,13564055,354910
26.78,12825715,353179
72.58,7636610,268042
38.89,15133590,247672
72.80,11426353,289579
23.84,26422932,247786
31.61,22584879,14736292
59.34,11683560,3002931
17.71,67290192,13794179
30.46,12208160,10461483
24.68,43386894,10130434
82.34,10210829,922534
68.17,9744478,2835960
51.83,13036521,334076
52.37,9154131,332796
33.72,15852330,253620
35.79,18280117,234555
73.20,9821176,1692584
40.67,22526006,4951695
39.10,15968312,7568075
82.33,10793882,1051625
15.43,19842948,20766405
79.22,12747324,865997
66.00,6806456,2773536
81.99,12763754,836596
12.07,97297454,892630
68.71,8595553,740351
28.99,21081781,669496
17.37,36048114,886753
85.48,10028515,583952
79.07,8720227,325497
86.67,10059294,350484
24.59,43057010,11046142
8.24,140736509,36112109
82.49,10488374,997494
73.97,8172031,1972440
59.51,9363055,3715482
77.75,9048065,1535292
60.46,11394318,2643228
25.27,44403853,9206922
40.06,22667887,5489021
48.22,10721322,5383169
18.34,21984909,20297191
24.07,43982245,10379066
48.89,10926519,3828851
83.11,10526512,667799
17.34,39979818,344385
82.68,9263978,298107
87.21,9679753,231422
76.81,10968066,231136
20.46,30214718,235543
22.98,33183942,14509674
8.68,103976885,48214996
80.51,9898812,1058473
76.23,8464452,1520860
16.39,66904727,17557664
24.21,44129144,10009302
81.40,9621267,927946
19.50,11947815,12201796
77.51,8490849,1131468
50.87,8839685,670735
83.52,9991668,349882
81.73,8868374,290056
84.15,9324391,231794
67.98,13964561,3518720
64.62,10244372,3408225
26.13,33816280,11659779
81.03,12034564,1319468
66.51,10985977,2903802
23.35,32903174,15758392
11.98,81536850,32777528
80.50,11390500,1628760
25.64,33324564,11829848
28.30,33539089,10487845
64.45,11992425,358248
77.57,13982716,231266
33.96,45082492,232656
33.64,25160743,11164708
26.75,34059518,12239673
85.99,10246024,716442
61.58,11207381,697498
63.99,11871640,336869
83.01,12725615,231297
80.99,10033649,1703776
50.23,14508548,6429174
28.09,35102947,317103
77.13,10039267,2657576
22.89,31739336,13551119
33.46,22847675,689328
78.41,11006132,243327
34.02,44888041,231315
20.95,46904865,21330784
43.05,12134705,11182765
81.32,11830312,1744974
59.13,9946586,5081451
60.96,12923188,5372278
89.36,10515643,647280
81.64,11817011,686695
91.63,10269193,300387
57.65,9693562,5583625
20.90,47197357,20526763
57.35,9896605,5412205
88.57,9815046,1005476
71.58,9972748,2902253
80.19,11102283,1753347
33.00,12280489,9445908
25.35,19626602,18429007
89.93,9513020,838134
88.69,10308119,874649
72.18,10054497,2710785
27.43,23782674,15506387
58.49,8793507,5555409
75.26,11324787,2422765
68.18,8712355,690171
44.66,24133528,620639
91.46,9883148,316051
85.89,11274587,383844
81.04,10693145,245651
62.30,20041645,231156
