IdRun;NameConv;Time(ms);std;NbMicroKernel;AxeFuse;SizeAxeFuse;Schema;Time_search(13.89098572731018)
0;Yolo9000_0;1.0168749499999996;0.0009119611500314512;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;292;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (2, x), T (1, c),  T (3, w), T (3, h), T (17, y), T (1, x), T (272, x),  Lambda_apply y [((Iter 2), (Arg 10)), ((Iter 1), (Arg 12))]];15.280288219451904
2;Yolo9000_0;0.34089605;0.0009630982471228348;1;axe_yy_0,axe_xx_0;274;[V f, U (2, f), ULambda y, T (3, c), Hoist_vars [c], T (1, x), T (1, c),  T (3, w), T (3, h),  Lambda_apply y [((Iter 13), (Arg 14)), ((Iter 6), (Arg 15))], T (2, x),  T (272, x), T (2, y)];17.94273328781128
4;Yolo9000_0;0.3978720333333333;0.0010836648256930823;1;axe_yy_0,axe_xx_0,axe_xx_1,axe_yy_1;87;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (32, x), T (1, c),  T (3, w), T (3, h), T (68, y), T (1, x), T (17, x), T (1, y)];20.220654010772705
6;Yolo9000_0;0.4244549333333333;0.0008293541603762218;1;axe_yy_0,axe_xx_0,axe_xx_1,axe_yy_1;42;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (68, x), T (1, c),  T (3, w), T (3, h), T (34, y), T (4, x), T (2, x), T (2, y)];22.410430669784546
7;Yolo9000_0;0.34927050000000004;0.0008072951580569426;1;axe_yy_0,axe_xx_0,axe_xx_1,axe_yy_1;57;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (8, x), T (1, c),  T (3, w), T (3, h), T (4, y), T (2, x), T (34, x), T (17, y)];23.54165816307068
8;Yolo9000_0;0.29693536666666664;0.001040758803843523;1;axe_yy_0,axe_xx_0,axe_xx_1,axe_yy_1;294;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (2, x), T (1, c),  T (3, w), T (3, h), T (17, y), T (1, x), T (272, x), T (4, y)];24.66161870956421
9;Yolo9000_0;0.32614836666666663;0.0007639923167152895;1;axe_yy_0,axe_xx_0,axe_xx_1,axe_yy_1;91;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (4, x), T (1, c),  T (3, w), T (3, h), T (4, y), T (2, x), T (68, x), T (17, y)];25.792081832885742
15;Yolo9000_0;0.29154485;0.0010870586114475104;1;axe_yy_0,axe_xx_0,axe_xx_1,axe_yy_1;59;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (4, x), T (1, c),  T (3, w), T (3, h), T (17, y), T (34, x), T (4, x), T (4, y)];31.120259046554565
19;Yolo9000_0;0.3542565333333333;0.0005036385873487568;1;axe_yy_0,axe_xx_0,axe_xx_1,axe_yy_1;90;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (8, x), T (1, c),  T (3, w), T (3, h), T (4, y), T (68, x), T (1, x), T (17, y)];33.3700385093689
20;Yolo9000_0;0.2783478333333333;0.001039273357260319;1;axe_yy_0,axe_xx_0,axe_xx_1,axe_yy_1;112;[V f, U (2, f), U (8, y), T (3, c), Hoist_vars [c], T (1, x), T (1, c),  T (3, w), T (3, h), T (34, y), T (68, x), T (8, x), T (2, y)];34.505346059799194
