perf, CACHE_MISS_L1, CACHE_MISS_L2
23.98,6909121,14524275
30.67,7678134,13455746
25.77,11964619,14061592
16.55,18736432,20543850
13.88,30432774,21805788
20.37,6130995,12708876
33.31,7791331,14296929
27.08,7706096,13952370
22.12,13713912,18095821
13.78,30381009,23708390
26.40,6144348,13503006
31.90,7280262,16373151
32.12,6675702,12501121
33.02,8753175,10481102
26.88,12872340,15592002
14.48,30339889,21076167
13.23,29434198,21073359
31.99,7256495,16690235
27.38,13742905,17955842
18.40,18997451,23522124
34.42,7335667,16547931
32.95,7693508,14006335
25.96,12014209,13720093
18.20,18251577,20629580
14.38,29008123,14820654
14.39,30327215,21899921
35.21,8150932,9618878
19.39,18986269,20103554
13.34,29275837,24325401
37.67,8122850,9321115
32.84,8748425,10200214
27.66,13649842,17078501
27.72,13698050,17451241
14.39,30264979,20314220
19.73,19029298,19785733
14.41,30519466,18587783
14.19,29054444,15710448
12.09,19897632,15829762
24.29,19450887,15099866
29.76,19489276,16180602
26.39,20039933,16109563
23.30,25277563,21441201
22.60,19413301,15010594
25.49,19300142,16732767
29.47,19575255,16316846
17.78,28788089,21991294
14.99,27933536,17930267
30.77,19146071,12778746
29.09,19469201,13693752
17.49,29477784,24023090
28.47,18619670,15669104
24.26,25168972,21542291
18.69,28889927,21484377
18.16,27748804,20404666
32.04,19656556,14616910
31.10,20309464,10729042
14.33,27398270,18716133
14.92,27577769,24795451
32.53,19900020,14373108
31.31,20253953,11107279
31.46,20276126,10736201
30.89,20295416,11405353
28.68,22078804,12552438
25.31,25112440,20342216
25.29,25019464,21597706
18.72,28741070,22700890
26.10,23360942,12761070
25.43,25044941,21485296
18.62,27744884,23332700
14.21,28573863,21004637
28.12,22058008,15872201
14.95,27455988,23535118
14.82,28084560,17750386
15.12,27346076,23476064
19.25,28929686,21672852
14.74,28088556,21120784
21.42,15407674,23406070
25.25,15816921,12606857
17.31,14868786,28753718
16.96,14876036,28683491
21.16,15005460,28361820
20.81,15101469,29084381
21.27,14203331,21995527
21.13,14222648,21864540
24.93,15817231,14834831
21.33,15067490,29045219
25.72,15790739,13130133
25.32,17042540,18365254
22.96,19808443,20878277
20.06,19644983,5847439
19.46,19195693,9166287
24.87,15339586,23632728
31.69,15750361,13937719
24.33,17057795,18817913
32.84,15745588,14511065
27.29,19761694,22117595
22.58,19341329,7025413
20.78,19158016,8736202
30.09,15874765,14262162
29.08,17022716,18123401
25.94,17143083,18667032
23.52,19698799,21648368
22.42,19664366,7078992
21.28,19013393,11372857
19.20,14848177,28846620
19.09,14799309,28891379
21.40,15402485,23535931
21.36,15388123,23872840
23.33,17056099,17906168
22.14,14896386,28398737
21.29,13948089,27069388
26.96,15751424,13322825
26.37,15789012,13796669
26.24,15800943,12782989
18.55,23231571,19055333
19.60,19616639,5796440
24.77,15374304,24138768
24.13,17085862,18809096
19.75,19220755,10747681
20.09,19748820,5773621
32.10,15729849,13908706
26.89,19807006,21773716
19.91,19361413,8381830
31.19,17013179,18875025
19.87,23145368,21779583
22.93,17744810,12577607
22.56,17564189,12080872
19.44,14750374,29533778
27.01,15747300,13606957
23.56,19751125,21186611
19.78,23170274,18817712
19.69,22312038,18613499
19.66,19300384,8728921
30.54,15795063,14825970
27.85,15806296,15667156
29.81,16895225,19447291
30.31,17078410,20067640
29.54,17092233,19528653
19.51,18929121,6975487
25.98,15336860,24420754
27.90,19844107,20584133
21.70,19228632,9202044
23.25,23119378,17602759
28.85,19362744,18941698
22.51,19379489,8044659
30.98,15793425,14633170
30.38,16995089,18124837
29.79,17056864,19749793
22.64,23140936,19962281
26.15,15289166,23796660
30.78,17078914,19025893
30.42,16994227,18109483
27.87,19720000,21910386
27.95,19825004,20410043
22.65,22889372,20306618
21.92,19473135,7232683
27.76,19730784,22226708
28.38,19788044,20919001
28.21,17859913,19195550
29.98,17048880,20570302
27.72,19706310,22585216
21.87,19328315,9639879
21.89,19162888,10273656
23.02,22936365,18631159
27.76,19769579,22312141
22.13,19375155,9221384
28.46,18196104,18416858
31.65,15591826,15285971
28.39,19781549,20776258
28.31,19772584,21965633
22.47,18982420,10202009
27.90,19830702,21891488
22.87,23203285,22264143
26.67,15323996,24300779
32.13,15592874,15871962
28.73,19813489,20618153
33.69,15766441,13157155
28.04,19768029,22203207
23.00,23175728,19288726
31.71,15608140,14851227
23.09,23093778,22093439
32.39,15796035,14848555
32.21,15604020,15983616
28.48,19803847,20969032
28.14,19810675,21645223
23.00,22189710,17713694
22.90,22209018,19813996
23.86,17642674,12718648
22.50,19845616,6125068
22.42,19352547,9179313
23.04,22988389,20852220
22.72,19474015,9273262
23.14,23045916,19636061
23.01,23169190,19863502
23.46,22544633,16554235
23.35,23175612,19935225
22.54,19495063,7692046
23.90,17929432,10200663
24.51,17553286,11118629
22.63,16830031,12635376
