perf, CACHE_MISS_L1, CACHE_MISS_L2
40.49,1177257,5000731
51.46,1332919,1024475
51.70,1328732,1040223
43.77,1731592,1181310
43.47,1754324,1372311
31.08,2770785,1871504
27.54,4042890,3161682
40.80,1365108,5418246
50.77,1204426,1329281
47.85,1360890,2239639
47.60,1366303,2338531
51.40,1338752,1282681
40.45,1407992,605296
39.30,1562680,1687884
41.45,1290609,5369882
41.46,1290117,5389004
41.39,1289945,5392322
39.40,1097901,4984172
42.73,1342836,4757960
46.47,1401085,2268894
46.50,1399848,2326575
48.16,1479131,1055237
43.29,1518393,835803
37.58,1036481,2657058
34.75,1379726,1131243
28.44,1963139,3130950
28.70,2171772,2222915
29.01,1977330,3416987
40.97,1095547,5057369
40.91,1313553,5507923
39.37,1092900,5046698
41.37,1332384,5144916
39.25,1131884,4570628
40.62,1374558,5135774
43.63,1417544,3025994
38.70,1510500,4713375
34.81,1808196,1385860
39.44,1201382,5033433
49.66,1502451,2169557
51.39,1488105,1831152
50.89,1460289,1054777
39.15,2014105,1879109
30.40,2682984,2346250
43.64,1510123,4358647
49.74,1510584,2388956
48.79,1514504,2478749
44.46,1930480,1539403
44.60,1929233,1838355
39.70,2015302,1305245
41.68,1393332,4857327
46.64,1515314,2365217
44.46,1428196,2353602
42.93,1690504,3319788
42.35,1197254,878021
37.60,1516357,3298787
42.08,1495137,1286390
41.02,1416679,5546563
40.66,1440602,5647497
40.55,1421571,5611602
44.72,1424914,5088207
40.62,1484272,5212605
41.84,1242746,4091599
49.20,1506024,1262948
43.39,1542283,4037514
40.24,1700453,5152939
37.43,1650505,3558971
42.97,1410213,835794
54.29,2126884,1297471
52.50,2126959,1716969
50.45,1998366,1179564
51.44,2410802,1209380
51.37,1420946,1287007
42.56,1691625,1342028
43.28,2339541,1979490
27.43,5537365,2480052
26.96,6078104,3302851
50.69,2302594,1527294
48.98,1121305,1383037
44.85,1940618,1109551
43.53,1841287,2025224
29.21,3624196,3702202
21.77,6388797,3924625
42.98,1838517,4634336
41.60,1840484,4395592
45.12,2248325,2902159
43.74,1313826,960323
34.60,1113833,3571019
22.14,2595090,4826411
23.58,2072213,2280554
34.41,1948427,7670016
35.76,1738938,7132380
39.53,2135911,3804863
34.62,2118964,6951333
42.54,1658804,559107
41.64,1747001,804050
27.25,2022809,5455228
41.76,1924021,5638992
47.24,1884007,2703878
52.92,1967671,1305302
49.27,1951987,785490
44.00,1807155,1580622
43.75,1884755,1849565
44.76,1415797,1291371
33.43,4918769,2738295
31.13,4819576,3205691
47.95,1895258,2990563
49.77,1948877,689807
48.74,2099827,1846175
47.81,2111216,2029910
45.35,1794208,1268669
45.39,1828596,1247792
45.32,1395943,1290881
37.95,2316949,2257760
34.29,1611079,7189694
35.40,1833874,7233025
35.20,1631224,6150351
49.97,2065384,974302
41.37,1881767,3714292
42.56,1646653,3281375
39.31,1570922,3521940
33.89,1974568,1486905
29.66,2475083,2676938
29.98,2231801,4402602
38.07,2029871,5631214
39.19,1858280,3620038
32.67,2872882,2138154
38.34,1837713,5139623
50.37,1851114,1382134
48.81,1522549,894249
46.70,1344994,1066060
32.34,4887771,3345681
34.51,1688772,5592718
49.87,1836014,1708619
48.17,1888407,2715783
45.64,1829684,1621573
45.74,2143415,1860456
43.02,1708074,1545335
31.83,3776089,4245180
44.46,1894047,3850279
40.23,1701300,4012070
47.48,1646259,748420
46.77,1683309,1262744
32.45,1686343,4201655
32.75,2259851,2525629
39.02,1806550,6591469
35.58,1957833,6938480
42.18,1954446,3982282
38.18,2203822,1590952
39.21,1709310,5097484
36.22,1709334,5691192
42.10,1993613,5666919
40.09,1984049,5596799
52.69,1945370,1669900
49.79,1819454,1155477
50.41,2211311,1130099
47.96,1950610,846340
43.63,1302530,787862
42.14,1440957,1314452
41.08,1992805,2183339
35.10,2276594,1843805
31.72,4580283,2879670
36.84,1852074,7111681
39.24,1905554,5619440
38.75,1713098,5471948
46.39,1290910,1099251
41.89,1964694,2441351
31.50,3721041,3526110
30.22,3376258,3168812
39.47,1862358,7151199
41.66,1987378,4831357
45.68,1923389,1064808
38.97,1774015,4111623
32.65,1498536,3110097
37.24,1634840,7146608
40.69,1963913,6628647
38.22,1715331,3666150
42.51,2346043,1552599
29.89,2980502,3027249
36.35,1690019,7079336
38.05,1715559,4864020
47.20,1981426,3053367
32.74,2480578,2225504
35.68,1996080,7306996
42.08,2039428,5839601
49.27,2009141,1796097
44.38,1965295,1019605
43.75,1831384,2176343
45.47,1776116,1627991
35.43,1658440,7152408
36.40,2043081,6868203
44.03,2063271,4790959
43.80,2063262,4923216
39.48,1926656,3249201
42.15,1634339,1424966
40.52,1822588,1915574
35.75,1977301,7395935
40.54,2028654,7196726
36.46,1671489,6829558
38.43,2024924,5858366
46.06,2200124,1424646
