perf, CACHE_MISS_L1, CACHE_MISS_L2
37.86,27811040,44966683
26.52,77310222,82494541
45.09,20074349,10083339
44.51,9359634,11362224
46.51,9536356,13531445
26.77,15008397,32791471
39.65,13757571,9334181
19.95,16526594,49084781
35.95,10327773,14150854
46.89,7012975,8402303
54.88,12108934,19482818
36.23,44165925,26752312
55.16,8607552,9523169
41.84,21940812,21382007
51.51,10544005,10579995
54.21,15249740,5116647
48.66,14797849,4602987
42.50,14110500,31937855
20.70,34268302,73211476
33.71,30842682,13353103
50.13,6873620,13573107
42.18,29327626,39906478
43.79,19311523,15148437
44.51,23422904,19478216
47.30,11108147,14670819
40.66,23129993,15019384
49.74,25732244,16309296
49.87,24833209,3911853
36.19,5898911,17877826
43.86,23009138,6551269
43.28,13272730,4090446
52.56,10225319,9321866
25.06,40592106,87047956
37.95,41599311,22477713
39.66,41971015,12992453
51.57,11546387,12247399
18.07,74372406,156530766
32.40,8545235,9452339
47.87,12046881,15578063
38.25,9006909,12553132
34.51,14825050,39644902
45.49,14738900,16089950
46.33,14110955,13069107
13.38,71395841,182136776
40.53,13872730,22427873
30.12,30298416,11964599
49.89,12431031,13971071
19.45,21044948,56713340
47.79,13803694,26716797
27.12,74109839,25370485
52.65,11790977,14925466
26.57,64245684,35238325
27.25,68244355,22713724
42.32,14387735,20551147
42.79,9908204,14918992
50.17,10795449,11329046
20.89,35014815,96645811
40.92,12026197,29778219
45.03,11482397,9614049
36.23,16659649,17840428
40.89,11512775,11544475
40.78,6379478,16448359
46.79,11472481,9306357
16.98,70095882,155895365
39.40,24780512,25273563
30.29,12915712,13467877
29.22,18330359,51238997
21.17,71817085,84468979
46.00,12706931,21414495
42.12,23294696,10516630
38.84,11263824,26165436
46.03,8548091,16022331
46.95,13358518,13329996
51.08,11911619,12511102
45.40,11193394,10341812
47.33,14569631,7128115
27.50,19238811,52197297
31.63,9454954,9565456
33.56,10281576,12068900
15.56,67154721,163067064
22.69,67201168,49492792
48.90,11478232,8761246
29.29,16963715,11447968
43.24,10690032,18220104
30.83,15272712,29925238
35.27,10157566,23552650
37.05,11005414,15060975
21.22,66248981,66777738
25.87,70036724,13776217
33.31,7881190,9345142
35.69,15464833,25532698
44.54,7661076,9816347
27.01,48778909,66760088
47.49,11573417,10986264
44.28,12939085,7884215
36.79,26493378,4469533
45.21,13857938,4982472
29.28,21180771,67244491
15.34,68954424,92149733
45.65,11293048,11560492
37.63,10697160,12413765
29.75,37625082,36764313
45.71,11259181,18447734
38.09,9692907,6664037
42.55,12224027,27954485
38.85,19010143,30698762
28.08,45850493,10180146
27.29,20685427,50529827
33.63,10357278,12492247
26.03,70426935,14726221
43.42,9957333,14798363
27.06,11844490,26687227
41.67,15937978,14496946
27.70,38286307,39122226
30.97,11917043,9668137
29.12,8229333,18481375
36.62,8856302,5508859
28.12,18826910,60403607
19.71,72609428,65365920
28.12,39344788,17610264
40.32,11038666,15618876
46.94,12161463,13680312
52.56,14077052,9761035
32.29,40020612,37459676
40.36,10013316,13856512
41.16,19376145,26380137
49.66,11307121,13266390
49.34,15457878,11355692
41.88,11327011,14053959
41.33,11802409,14155889
43.96,13177728,32608016
34.60,13546917,12623618
47.04,11573814,11999331
43.34,9046166,12830799
46.28,11506387,16531312
30.37,40312157,23980228
26.27,68757709,14831507
27.93,13140047,18499917
40.96,5727826,13248821
33.84,24507615,13473954
35.18,27588718,7901505
48.84,12862329,9912019
47.24,10878082,9016578
27.39,20583874,57986913
40.97,22994936,10261207
38.73,12108049,14112515
43.05,20216790,10450423
35.35,12996165,30536877
30.52,28671245,12897947
36.17,5913094,13467345
41.14,6407600,8091495
40.88,11022280,27442857
28.77,36802504,39666649
35.22,9470476,26955818
32.81,15295820,14828522
48.09,11245388,10444657
47.78,12033035,11547619
33.71,10643810,7080341
36.62,16873773,9173186
45.08,13064013,12852861
45.56,13090224,14798473
36.48,18772673,5921990
29.94,15008249,12373009
44.74,9889801,13909301
44.78,14480840,9604138
49.91,11525105,11182610
36.34,11787751,13828943
29.52,7622457,9161344
35.78,16870808,9150237
44.42,10779454,19395452
16.06,36347870,102222495
19.85,32636182,57667568
41.68,10867859,11313161
43.14,11554692,11625356
28.04,39115952,37226365
38.70,13902659,21241286
30.38,15669655,31709987
48.35,11343440,12805535
39.69,20387599,13867102
47.09,12072163,14389958
44.21,8347226,12141273
25.88,32770332,17320841
41.69,9536843,12820713
26.08,12338014,27083838
34.54,21459040,41598030
48.33,10176712,11439668
32.52,8907955,9665037
42.38,12140952,11437446
50.17,10666209,7010185
32.50,14290378,10124194
25.75,36091782,20221803
33.79,9263901,6629134
30.38,40489697,19095778
46.80,11267288,12666696
43.42,5862522,7039716
26.55,36050657,53644491
20.80,68838071,67955611
24.74,68365043,25715611
23.96,32944648,93832360
43.85,11968295,6207746
