perf, CACHE_MISS_L1, CACHE_MISS_L2
10.58,37833711,655416
18.30,24023209,1556354
5.53,73913848,346796
17.04,11539151,2147112
27.78,7685692,343034
34.26,5173017,4191525
25.54,10958947,6085333
31.52,14028094,802410
39.58,2823201,2141231
39.80,2909204,2143689
34.75,6790582,2107366
36.12,12284803,398130
24.52,15649885,368040
14.91,11596296,329676
20.23,16000229,383142
28.37,12328299,4009182
45.21,9835939,841140
15.96,25551589,584118
45.97,9478996,686226
16.04,25718905,409317
34.79,15446261,1648014
16.16,25397383,737535
24.15,17319855,771955
44.68,9334305,979809
44.61,9368242,934929
20.84,19164910,2652619
21.10,15234187,3743138
39.02,10502867,2566861
19.81,19637135,1405968
21.71,18604979,1499387
36.51,10414521,2454972
35.23,11837254,2390991
31.92,13803563,2381546
37.21,10385001,2417575
43.53,15037087,343593
34.57,7071440,1977131
39.87,7154015,359566
14.72,14678809,15359173
42.77,7415129,413301
20.15,15223074,10019241
37.70,14039436,2564278
32.26,14365331,2287536
23.95,13390892,7226773
41.35,13678593,646654
33.21,14453292,3806004
34.47,12164979,4683979
38.49,11916163,4331516
47.00,10615596,371815
33.29,12956079,1403332
45.02,8289381,484352
32.75,8001198,2135707
43.63,9775350,2322010
41.67,6960113,357250
26.09,16572446,378334
32.70,7195261,3765767
31.02,5557548,384565
32.23,7439993,6254980
44.04,6201080,797178
45.36,10068590,368264
18.22,18191570,1037542
44.43,8258921,408370
18.97,22420466,316188
25.65,8760777,8326494
46.98,9353631,409168
40.69,7907809,3699403
41.13,7903809,3370828
29.23,12477921,4018448
33.95,7555432,6303065
46.09,7979392,920246
43.23,9178395,1654478
16.13,25810775,1000434
45.93,7786276,804827
43.27,9175865,1608277
16.24,25739013,742805
41.79,11435253,829009
42.36,9262237,1725411
44.87,8469303,1205317
16.25,25415961,963052
40.10,11457050,1221085
16.51,24767839,478163
16.24,25062070,793967
31.43,7671327,6210595
23.81,14191338,6031008
37.91,11059935,2217734
24.72,14241479,3556294
39.46,8182440,2981478
34.08,7654403,6281503
35.89,7857968,4985093
21.21,16678333,4660679
21.26,17094241,2619808
26.09,11882160,6967813
40.62,11468534,1332255
27.23,14618028,585200
37.23,13524837,698086
26.82,14644326,1188406
16.37,25673853,360925
27.04,14877816,1007252
16.06,25495885,803841
32.21,7734483,6302698
45.85,8597120,1038525
27.14,15600812,693578
16.68,24502873,741602
44.73,9455906,639569
36.31,13844304,804730
16.57,24706475,780325
33.57,11573943,3031752
32.41,7695487,6296425
29.78,12052770,5345430
31.94,7790794,6301145
32.73,7803019,6283910
34.24,7986325,4944566
33.75,10437253,3780785
31.21,12508228,2995260
29.16,12440349,4083770
33.15,11983420,3119267
32.53,12077110,2878097
30.89,12012197,4122514
42.04,12611446,1648206
32.90,16692587,1277771
42.41,12705457,1297713
23.59,19383478,1162620
45.70,11760343,664041
24.14,19344158,665424
38.83,14513560,665879
15.73,25642465,403438
31.76,17108402,1746497
23.89,19854911,525743
37.82,12233573,2597373
38.70,12201528,1900510
38.92,12571545,2244880
24.14,16857042,3571885
33.15,15752996,1618533
36.31,12469313,2418542
32.58,14855389,3765150
45.17,10933129,690475
38.40,13261254,1749513
44.61,10883704,863075
43.13,11594600,1202686
37.08,13249506,2561850
44.52,10611941,1025807
37.51,13161474,2388328
23.11,18627282,2705401
42.32,11582323,1801271
23.85,18702624,644596
23.56,18719989,1139178
39.85,13370700,773545
15.68,26473720,479380
32.77,12854905,4273096
39.28,10968474,1845415
42.42,10929979,1341859
18.03,21101475,1187433
18.75,19350893,4328812
34.36,12467441,2509270
25.75,16413368,2798802
25.73,16361183,2780839
45.19,10078864,1083776
35.62,9816785,4032830
35.59,9865740,4012526
45.92,9577212,692275
46.02,9738271,804225
43.21,10647882,1713610
25.20,17616907,647120
45.45,10125093,898167
32.58,15572500,2092107
23.65,17839753,2705091
33.77,15477540,2617217
24.98,18430434,735406
36.52,9850226,4198855
35.40,12359379,3440959
34.01,12379057,3508119
25.86,14595838,2289131
42.31,10196715,1549972
39.03,10646348,2620336
25.75,14710804,1657951
26.08,14631007,1670550
22.89,18056159,1520735
35.31,9914258,4237727
34.51,10017133,4208076
34.11,11932823,2444661
20.11,16159716,2600331
39.22,10081069,2543008
27.46,13899048,5014778
28.60,13709532,3188544
21.99,15373200,8539810
38.94,11780313,2427985
33.65,10634847,407773
34.80,9618879,3083722
36.20,10935390,2345372
40.83,9303973,2334077
40.06,9822297,438385
26.45,8264967,6276542
41.87,12982332,836525
27.98,13171012,4194073
30.11,12987377,4181875
42.09,12880411,1040130
30.67,12854991,4181216
38.47,13860197,3423147
31.26,13042157,3197313
36.01,8704738,414170
46.56,10417417,347202
