perf, CACHE_MISS_L1, CACHE_MISS_L2
48.54,1196976,32457
45.20,708274,30962
28.16,2118202,29848
35.31,931315,29102
39.10,1059827,187295
23.97,3737949,684312
45.39,1114675,213778
36.71,304279,81313
38.44,1350500,685207
30.49,2078776,581517
48.26,1301835,28557
29.68,2191083,700314
48.82,1092408,28892
36.26,1152681,545792
41.24,783430,101248
46.91,1086275,182013
39.25,2442483,68437
48.71,1047247,31808
45.61,589826,101558
46.33,450911,30302
47.63,3874952,56865
47.09,1028671,62116
48.76,1953044,33116
45.88,624160,102713
39.24,592767,33827
46.85,1994176,100000
45.79,1315790,55480
46.19,665682,30240
47.57,1279674,33795
28.33,1584007,30534
45.11,923768,34231
42.21,1155936,346054
47.02,701771,28880
47.66,1124534,29591
48.54,969490,30883
40.24,1812419,96830
42.25,2542161,129497
46.98,1718174,33964
46.43,1708748,28605
46.84,1328358,166125
44.26,1420654,30544
48.19,1135060,90215
47.91,1244505,58565
46.17,1122345,29193
46.91,869217,59183
44.83,1208982,29043
32.56,2046518,28702
44.96,1341435,92919
47.02,1329681,32851
46.33,1453305,28697
46.72,1289906,74685
48.04,749633,58143
36.28,1114683,595714
47.77,790781,30175
31.44,3301647,128198
40.54,1318995,30011
26.02,1968514,708773
46.09,491505,103468
46.23,540190,55014
33.12,2067678,337684
45.38,673972,55000
30.85,2015474,98565
45.57,411918,30539
28.02,1919846,30374
47.73,436620,29178
19.17,2156018,29005
26.92,4379130,33648
13.23,9071355,240933
42.07,568565,178598
42.00,748807,32011
44.15,433882,61911
42.22,539801,199931
48.40,474296,33798
46.40,1110703,63754
48.53,1362236,28913
44.34,561653,277424
48.16,1200928,97332
48.45,503341,34153
41.58,1160602,113372
46.68,1242327,29151
45.36,1983866,28467
47.55,659235,163261
44.14,767330,84308
48.31,889839,60029
35.69,1511889,761671
47.98,542029,33253
31.70,2427719,745869
40.44,1480285,119957
47.95,523750,30363
48.38,938838,28605
48.15,1049885,60460
36.46,1975549,137963
45.03,788027,33919
48.56,1102677,33241
42.25,1759346,28762
31.51,1782884,688274
43.39,1017265,34230
33.49,1599440,656856
41.59,716924,342167
41.84,1451028,28537
39.02,839727,373661
46.98,447470,29949
43.87,434400,187882
34.34,1203482,79268
32.10,1187902,709356
43.35,428662,175578
48.07,660558,33353
44.14,566548,94384
38.47,909609,176917
45.53,949706,122677
43.92,587983,203583
38.71,739955,214670
30.58,1802350,186474
31.76,2336682,174691
47.37,1090752,28696
47.61,1426931,45103
32.74,2042186,28672
34.59,2226156,484434
46.76,441391,72715
44.14,494271,193661
45.81,770521,55707
30.54,1745327,30530
42.98,779692,28955
20.45,2374976,1397285
30.10,2389237,250942
36.50,1926057,29243
46.42,758611,109794
48.62,1434733,42365
47.92,1508512,28673
26.94,1176027,603984
48.11,1101478,29880
36.26,1300920,28739
42.12,2092889,29001
34.81,1157634,616145
47.25,647791,30111
47.83,930789,58201
44.45,797074,34054
46.76,894136,29644
23.96,2238018,1208262
46.27,785449,30516
41.96,1285652,30750
40.43,705520,84293
29.67,1646229,124221
36.25,1271323,29818
45.10,1390784,107418
46.66,295861,108996
44.19,588584,111384
46.69,746300,62229
34.26,1018943,297620
48.01,1748602,29968
46.50,1173322,30559
38.18,1286527,460340
48.03,1221486,33747
44.55,1442319,28638
39.95,1937252,30054
45.25,1704951,30533
48.84,1616128,28860
47.91,1176150,33568
48.23,1227993,52931
44.37,1253568,90384
41.43,1887863,33696
42.21,1932546,30020
46.58,1192897,73339
48.53,1407998,49685
46.69,1253579,29841
40.09,2088621,28927
46.84,1220626,29686
42.88,1060138,273424
40.90,1870923,32885
40.39,1643036,583047
44.75,1737720,28898
46.67,1213339,28768
40.39,1238412,508458
42.50,1660914,141876
48.26,1123146,29497
34.07,1520325,907177
44.14,1621962,29923
45.31,1276241,28676
46.81,973920,164320
39.77,1467593,34668
45.85,1242322,30685
48.36,888777,52780
48.77,935466,30502
43.35,2327366,28557
46.75,1630715,118436
44.69,1527699,31592
48.70,1201148,29559
47.13,1179177,28636
38.50,1557329,602127
45.06,1597152,28568
48.62,1161596,29646
46.63,939525,107147
35.55,1219745,639591
38.81,1404108,30809
46.90,874297,35892
40.65,1390426,30629
27.52,1305913,715770
39.75,1397875,30566
38.57,1237193,132686
46.79,822363,30995
