perf, CACHE_MISS_L1, CACHE_MISS_L2
43.73,13941734,2166786
37.44,23016329,3264715
25.42,37583861,3942491
14.62,50802487,3520012
37.98,13243723,10211561
10.97,99331775,5440262
44.09,27726388,3152600
26.13,25727547,25277942
36.84,26006581,2199519
21.67,49706108,2611399
42.15,24797431,4076338
36.77,28969106,5165509
36.55,16811753,15196645
38.40,16295710,15267892
45.43,18075614,2000026
37.56,16099029,15239166
42.22,17760686,1787470
9.74,121921469,1198489
20.40,53862427,1591186
9.54,122766129,2220046
31.98,41495972,1156670
17.40,13793287,10154360
35.76,12447631,10175506
35.63,13834229,10212608
24.75,36280072,10232075
28.03,38070066,1111082
41.32,16318495,932213
42.45,18982221,1102094
9.90,119767999,1959641
17.80,12283697,10134943
17.08,20321481,10121987
35.45,12475809,10192849
36.36,13936490,10251334
41.54,16189697,897189
43.60,14465224,976341
16.70,13543630,10180158
36.69,13536446,10270358
31.49,28353008,10244472
44.45,15134788,1098904
42.34,20492773,1037650
44.80,14494325,1589040
38.38,25241982,5421059
39.70,11667396,10185353
25.49,41267329,2848935
44.53,13853555,1180414
44.60,14259808,1810193
38.88,26686516,4567426
21.12,11329618,10149972
39.81,11680623,10193485
40.10,11806512,10232976
42.86,12628163,4715747
42.03,12522183,4599669
26.44,35747217,7277866
17.46,30990864,30196191
32.20,34551222,4952786
20.71,31111646,30200124
22.66,25937621,25167852
27.07,26224011,23121491
15.72,69574547,7118885
25.84,25645137,25286650
46.08,26603680,1147902
45.12,17834204,1519992
39.62,24414490,2029764
35.07,32754715,2887171
26.88,34678750,3309048
19.78,15619091,15135008
38.88,22514830,3438317
41.38,28565114,2370674
30.27,20731273,20271529
45.85,21699342,1376472
37.13,23481011,8603138
35.72,16256004,13885278
44.18,19799772,1314359
42.76,19144021,1706143
19.87,50334286,1390052
19.49,50398431,2428833
12.11,30536484,20153634
23.73,22987082,20194562
24.33,23025481,20180311
34.11,31504766,1427656
9.83,115579082,963338
19.87,37877683,15176585
20.51,38044425,15217205
30.69,25135276,15279464
23.23,31074124,15272785
33.05,34809872,1252043
41.36,27720683,1329683
24.22,53574303,1069988
18.78,58214231,1230407
14.56,26636697,15188442
42.93,28278838,992811
44.20,25833349,1403951
28.01,21422612,20247396
43.81,24866727,2323501
39.38,28286146,5348794
17.59,31788008,15181262
29.64,42348087,3740802
25.01,38390658,6180731
19.84,61759149,4064427
12.43,80781648,9495238
23.23,56890316,5453137
15.58,65856052,12591471
35.48,21601034,15237036
43.30,25425362,1495713
16.03,57637731,6138839
44.50,23553767,1567325
43.02,27019561,1549427
35.87,39318457,4981434
38.06,38358168,1597641
35.45,37663653,9470575
13.09,80683006,5609069
33.79,37389028,10240120
40.89,37394466,1993830
38.11,35588804,3522807
35.73,35282282,10208898
41.19,29366945,2094361
42.42,24684998,2791387
33.56,29664970,7601813
33.06,23385470,9397489
18.69,35683852,30239729
38.68,41345886,3688900
38.32,40663228,5273920
28.30,26377966,23248122
45.47,27710426,2120146
29.54,32444796,4445577
43.30,29287798,1612466
31.29,33602654,4296593
45.35,22088670,2013742
40.25,28415063,3064157
18.53,21146340,20211318
45.26,20237612,1829068
38.05,19400902,15239807
32.24,26398831,6067143
37.84,21120387,15231347
45.10,22685041,1587745
18.99,21008225,15207317
42.16,24271312,2466808
34.00,40714738,7224610
13.06,31469406,30470329
21.46,31442385,30372375
21.43,30799575,30357580
21.72,31503458,30310022
35.49,37335171,4787503
21.45,28406525,20162924
22.54,29943886,20283772
40.04,31725401,947665
24.66,35919752,15141647
31.62,48299797,2540462
38.56,38826013,1430373
41.46,35768089,942443
40.28,37876823,1889766
14.78,36858251,15151152
26.09,35622439,15173509
26.28,36870911,15171928
36.78,43181195,2283492
37.81,40415277,1137378
35.84,44705919,1566560
28.07,41111078,10250198
29.32,42197929,3627727
39.31,40159735,1219957
28.37,46722377,2088293
26.14,51818714,3129535
29.77,33309596,15168347
29.65,32761786,15175952
40.96,37308161,1150506
28.82,33126729,15177288
32.03,45751712,2509913
23.56,33806495,15180461
28.42,33001602,15183015
28.89,33327428,15227149
28.53,34983710,15226754
40.71,41172363,1015327
26.93,35980977,1979883
29.78,41612309,10175778
32.56,39512327,10233851
32.98,40214558,3572821
32.72,43433594,1673621
38.01,43751802,1369669
32.02,46417878,1338523
38.10,46252615,1527547
41.29,42251222,820686
29.47,42663403,10282554
31.85,42470009,3820950
26.41,34054771,5871581
32.12,41307848,10155783
31.96,41490470,10172271
33.30,50657998,1972094
41.46,41754512,1179283
27.86,42943856,10164688
39.42,44552815,1969394
38.35,26876303,10212665
36.97,27937281,4341255
40.75,33425055,3010826
40.66,33705136,2446030
37.47,27181424,10197834
20.34,27766663,10134460
38.29,28464133,4177684
37.04,34285958,3865514
37.41,35553046,3549354
30.48,28086721,6978484
